Date,Event,Fatalities,Route,Location,Aircraft Type,Passengers,Registration,Aircraft,Crew,Responsible Group,People on Board,Crash Cause,Total Fatalities,Accident Cause,Survivors,Flight Number,Weather,Probable Cause,Airline,Flight Route,Total Passengers,Crew Members,Ground Casualties,Total Crew,Establishment Date,Contributing Factors,,Cause,Accident Description,Possible Causes,Total Fatalties,Crash Location,Crew Deaths,Aircraft Registration,Main Cause,Engine Type,Notable Individuals,Capacity,Aircraft Information,Description,Departure Airport,Destination Airport,Destination,Outcome,Responsible Party,Operations,Name,Cause of Crash,Injuries,Formation Date,--------------------,Serious Injuries,Minor/No Injuries,Operational History,Other Details,-------,Aeroservicios Ecuatorianos Flight 767-103,Modernization Era,Peak Status,Post-1992 Status,Operation Enduring Freedom Status,2021 Status,Fall of Kabul Status,Flight Crew,Manufacturer Serial Number,Maintenance Details,Passenger Details,Responsible Group/Cause,Crew Fatalities,Passenger Fatalities,Development,Wing Position,Characteristics,Alliance Air Flight 7412,Boeing 737-2A8 (VT-EGD),Operator,Total People on Board,Crew Involved,Additional Context,Crew members,------------------------,Cameroon Airlines 3701,Departure,Ground Fatalities,Initial Engine Issue,Reason for Crash,Occupants,Smoke Detection,Wreckage Location,Flight Recorder Recovery,Founded by,First Aircraft Delivered,Battle Significance,Main Commander,Flydubai Flight 981,Additional Information:,"- Flydubai Flight 981 was a scheduled international passenger flight from Dubai to Rostov-on-Don that tragically ended in a crash during a go-around procedure, resulting in the loss of all 62 passengers and crew on board.","- The airline, Flydubai, had an excellent safety record prior to this incident and had recently become a member of the IATA organization.","- The pilots raised concerns about fatigue-related issues within the airline's rostering system, indicating potential factors affecting flight safety.",Founding Date,Founder,Headquarters,Acquired by,Fleet,Notable Awards,Merger Date,Reestablishment Date,Current Status,Minister of Defense,"This table provides a snapshot of the Nicosia Britannia disaster, showcasing essential details such as the date, location, aircraft type, number of passengers and crew, fatalities, survivors, and the contributing factors leading to the crash. These details offer a concise overview of the tragic event's key aspects.",Notes,Engine,Produced,Variant,Paratroopers,Cargo Capacity,Rear Loading Ramp/Door,Defensive Tail Gun Turret,Chinese Version,Production Year,Personnel Count,Highest Rank Held,-----------------------------------,Crash Causes,Potential Causes,LaMia Flight 2933,----------------,2933,LOT Polish Airlines Flight 5055,Alleged Cause,Possible Cause of Crash,Accident Causes,Location of Disappearance,Pakistan International Airlines Flight 268,Crew Member,------------------,Captain,First Officer,Flight Engineer 1,Flight Engineer 2,Pakistan International Airlines Flight 8303,Engine Failures,Rescued,Note,Total Lockheed C-130 Hercules Production Hulls Lost,US C-130 Losses during Vietnam War,Royal Air Force Accident Rate (1967-2005),US Air Force Hercules Overall Attrition Rate,Lineage of Russian Air Force,Commander,Sequence of Events,Investigation,Singapore Airlines Flight 006,-----------------------,Captain Foong Chee Kong,First Officer Latiff Cyrano,Relief Pilot Ng Kheng Leng,Key Causes,Responsible Crew Members,Southern Airways Flight 932,Possible Contributing Factors,Casualties,Investigating Authority,TAME Flight 120,Weather Conditions,Responsible Pilots,Crash Factors,TWA Flight 128,Crew Role,-------------------,Hours of Flight,"Pilot error, misjudgment of altitude",Origin,Fatalities (Passengers),Fatalities (Crew),Responsible Factors,Flight 352,Yekaterinburg - Vladivostok,Vnukovo Airlines 2801,"Since there is no specific responsible group mentioned in the text provided, this information has been excluded from the final table.",Initial Aircraft,Training Partnership,Initial Acquisition of Aircraft,Major Arms Deal,Aircraft Provided by Donations,Conflicts Faced by Air Force,Sole Survivor,trigger
1 June 2009,,,"Rio de Janeiro, Brazil - Paris, France",,,228,,"Airbus A330-203, MSN 660, F-GZCP",Unknown,,,"Crew incorrectly reacting to airspeed inconsistencies, causing aerodynamic stall",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 447
25 July 2000,Air France Flight 4590,,"Charles de Gaulle Airport, Paris - John F. Kennedy International Airport, New York","Gonesse, France",,109,,Aérospatiale-BAC Concorde,"Captain, First Officer, Crew Members",,,Debris impact during takeoff causing fuel tank rupture and subsequent loss of control and crash,109,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 4590
22 May 2010,Air India Express 812,158,,"Mangalore, India",Boeing 737-800,,VT-AXV,,,-,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air India Express Flight 812
24 January 1966,Air India Flight 101,117,"Bombay to London, with stops at Delhi, Beirut, and Geneva","Mont Blanc, France",,,VT-DMN,Boeing 707,,,,Misunderstood verbal instruction from radar controller leading to collision with Mont Blanc massif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air India Flight 101
"June 23, 1985",Air India Flight 182,,Montreal–London–Delhi–Mumbai,Over the Atlantic Ocean,Boeing 747-237B,329,VT-EFO,,-,Canadian Sikh extremists,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air India Flight 182
"January 1, 1978",Air India Flight 855,,"Santa Cruz Airport, Bombay to Dubai International Airport, Dubai","3 km off the coast of Bandra, Bombay",Boeing 747-237B,,VT-EBD,,,,,,213,,,,,Captain becoming spatially disoriented after instrument failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air India Flight 855
20 January 1992,Air Inter Flight 148,87,"Lyon–Saint-Exupéry Airport to Strasbourg Airport, France",,Airbus A320-111,96,F-GGED,,"Captain Christian Hecquet, First Officer Joël Cherubin",,,Leaving autopilot in incorrect mode and descending too steeply without ground proximity warning system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Inter Flight 148
"October 27, 1972",Air Inter Flight 696,60,"Lyon–Bron Airport to Clermont-Ferrand Auvergne Airport, France","La Faye forest, Forez Mountains, France",Vickers Viscount 724,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Inter Flight 696
"July 1, 1994",Air Mauritanie Flight 625,,,"Tidjikja Airport, Mauritania",Fokker F28-4000 Fellowship,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Mauritanie Flight 625
28 November 1979,,,Auckland - Antarctica - Christchurch,,,,,McDonnell Douglas DC-10-30,,,,,257,Incorrect correction to flight path coordinates leading to rerouting towards Mount Erebus,,901,,,,,237,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air New Zealand Flight 901
"April 19, 2000",Air Philippines 541,,,"Samal, Davao del Norte",Boeing 737-2H4,124,RP-C3010,,7,Air Philippines,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Philippines Flight 541
12 February 1979,Air Rhodesia Flight 827,59,"Kariba to Salisbury, Rhodesia",,,,,Umniati (Viscount),,Zimbabwe People's Revolutionary Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Rhodesia Flight 827
"September 15, 1974",Air Vietnam 706,75,,"Near Phan Rang Air Base, South Vietnam",Boeing 727,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Vietnam Flight 706 hijacking
"July 28, 2010",Airblue Flight 202,,Karachi to Islamabad,,,146,,Airbus A321-231,6,,,,152,"Incorrect flight control input by captain, toxic work environment, no emergency signals sent prior to crash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airblue Flight 202
"September 4, 1971",Alaska Airlines Flight 1866,111,"Anchorage, Alaska to Seattle, Washington with intermediate stops in southeast Alaska","Haines Borough, Alaska",Boeing 727-100,,N2969G,,,Not Applicable,111,Erroneous navigation readouts leading to premature descent and subsequent crash into a mountain in Haines Borough,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska Airlines Flight 1866
"January 31, 2000",Alaska Airlines Flight 261,88,,"Pacific Ocean near Anacapa Island, California",McDonnell Douglas MD-83,,N963AS,,,National Transportation Safety Board,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska Airlines Flight 261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piston,,Up to 44 passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950s,High mounted,"Short takeoff and landing capabilities, pressurised cabin, convertible for freight carriage, large cargo doors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alia Royal Jordanian Airlines Herald (JY-ACQ)
"May 5, 1972",Alitalia Flight 112,115,"Rome to Palermo, Italy",,,115,,"I-DIWB, Alitalia","Captain Roberto Bartoli, First Officer Bruno Dini",,,,,,,,,"Crew deviating from established vectors during approach, leading to crash into Mount Longa near Palermo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alitalia Flight 112
"December 23, 1978",Alitalia Flight 4128,108,"Rome, Italy to Palermo, Italy","3 km north of Palermo, Tyrrhenian Sea",,129,,Not specified,,,,Premature descent due to misjudgment of distance to the runway,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alitalia Flight 4128
7 July 1962,Alitalia Flight 771,N/A,,North-East of Bombay,Douglas DC-8-43,,I-DIWD,,,,94,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alitalia Flight 771
"February 4, 1966",All Nippon Airways Flight 533,,"Osaka, Japan to Matsuyama, Shikoku",Seto Inland Sea,NAMC YS-11,-,JA8658,,-,,,Loss of altitude leading to crash,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Nippon Airways Flight 533
"February 4, 1966",All Nippon Airways Flight 60,133,Sapporo Chitose Airport to Tokyo Haneda International Airport,Tokyo Bay,Boeing 727-81,,,,,,133,"Aircraft mysteriously crashed into Tokyo Bay during night approach, worst single aircraft accident in Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Nippon Airways Flight 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian Directorate General of Civil Aviation,"Yes, on 15 January 1986 at Tiruchirapalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alliance Air Flight 7412
"May 25, 1979",American Airlines Flight 191,,"Chicago, Illinois to Los Angeles, California","Chicago, Illinois",,258,,McDonnell Douglas DC-10-10,13,,,"Engine separation, loss of control, improper maintenance, resulting in aerodynamic imbalance and crash at takeoff.",273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 191
"February 3, 1959",American Airlines Flight 320,65,Chicago Midway International Airport - LaGuardia Airport,,Lockheed L-188 Electra,73,,,,,,"Pilot error, inexperience with aircraft type, poor weather conditions, disputed conclusion between pilots association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 320
[Date],American Airlines Flight 383,,,[Location],,[No. of Passengers],,[Aircraft Type],[No. of Crew Members],[Responsible Group],,,[Total Fatalities],,,[Flight Number],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 383
"November 12, 2001",American Airlines Flight 587,260,,"Queens, New York City",Airbus A300B4-605R,,N14053,,,National Transportation Safety Board,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 587
"September 11, 2001",American Airlines Flight 77,189,"Washington Dulles, Virginia to Los Angeles, California","Pentagon, Arlington County, Virginia, USA",Boeing 757-223,,,,,Al-Qaeda,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 77
"December 20, 1995",American Airlines 965,159,,"Buga, Colombia",Boeing 757-223,,N651AA,,,Navigational errors by flight crew,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 965
"October 31, 1994",American Eagle Flight 4184,68,"Indianapolis, Indiana to Chicago, Illinois, USA",,ATR 72,68,N401AM,,,,,,,Flying into severe icing conditions leading to loss of control and high-speed impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Eagle Flight 4184
"April 22, 1966",American Flyers Flight 280,83,"Monterey Regional Airport, CA - Columbus Airport, GA via Ardmore Municipal Airport, OK",,,98,N183H,Lockheed L-188 Electra,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Flyers Flight 280
5 January 1969,Ariana Afghan Airlines 701,50,East approach to London Gatwick Airport,,,62,YA-FAR,Boeing 727,"Captain, First Officer, Flight Engineer, 11 passengers",,,"Pilot error, failure to extend flaps for final approach speed",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ariana Afghan Airlines Flight 701
"May 3, 2006",Armavia Flight 967,,Zvartnots to Sochi,,,105,,Airbus A320-200,3,,,,113,,,,,,,,,,,,,"First major commercial airline crash of 2006, crash occurred during go-around at Sochi airport, all occupants killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armavia Flight 967
12 December 1985,,,"Cairo, Egypt - Fort Campbell, Kentucky",,,248,,McDonnell Douglas DC-8,8,,,,248 passengers and 8 crew members,"High drag and reduced lift condition due to ice contamination, underestimated onboard weight",,,"Dark with low overcast, cloud base around 400 feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arrow Air Flight 1285
"July 26, 1993",Asiana Airlines Flight 733,68,"Seoul-Gimpo International Airport - Mokpo Airport, Korea",,,116,Unknown,Boeing 737-5L9,"Captain Hwang In-ki, First Officer Park Tae-hwan",,,Pilot error leading to controlled flight into terrain,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asiana Airlines Flight 733
"November 30, 2007",Atlasjet Flight 4203,57,,"Keçiborlu, Turkey",McDonnell Douglas MD-83,,TC-AKM,,,Atlasjet Airlines,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlasjet Flight 4203
16 January 1959,Austral Líneas Aéreas Flight 205,,Buenos Aires - Mar del Plata,,,47,,Curtiss C-46,5,,,"Crew error in approach, miscalculation, and subsequent stall during go-around resulting in a crash into the sea",51,,,Flight 205,,,Austral Líneas Aéreas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austral L铆neas A茅reas Flight 205
10 October 1997,Austral Líneas Aéreas Flight 2553,74,,"Estancia Magallanes, Nuevo Berlín, Uruguay",McDonnell Douglas DC-9-32,,LV-WEG,,,Unknown,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austral L铆neas A茅reas Flight 2553
22 December 1974,Avensa Flight 358,,Maturín to Simón Bolívar,,DC-9-14,69,,,6,,,Engine failure,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avensa Flight 358
13 August 1973,Aviaco Flight 118,86,,"Montrove, Spain",Sud Aviation SE 210 Caravelle,,Unknown,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crashed during landing in heavy fog, killing all 85 on board and 1 person on the ground. The aircraft struck eucalyptus trees, collided with an abandoned farmhouse, and caught fire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviaco Flight 118
27 November 1983,Avianca Flight 011,181,Frankfurt - Paris - Madrid - Caracas - Bogotá,"Near Madrid, Spain",,,HK-2910X,Boeing 747-200B,,Pilot error,,,,,11,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avianca Flight 011
"November 27, 1989",Avianca Flight 203,110,"Bogotá to Cali, Colombia",,,107,HK-1803,Boeing 727-21,"Captain José Ignacio Ossa Aristizábal, First Officer Fernando Pizarro Esguerra, Flight Engineer Luis Jairo Castiblanco Vargas, 3 Flight Attendants",,,Bomb explosion orchestrated by the Medellín drug cartel led to the destruction of the aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avianca Flight 203
"January 14, 1966",Avianca Flight 03,,,,,64,HK-730,Douglas C-54,,,,,,,8,,,,,"Cartagena, Colombia - Bogotá, Colombia",,,,,,,,,,"Engine failure, poor maintenance, inadequate inspections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avianca Flight 4
