Event Name,Location,Annual Occurrence,Focus,Dates,Significance,Purpose,Organizing Body,Key Organizer,Number of Attendees,Participating Organizations,Participants,Year,Date,Founding Year,Number of Participants,Year Founded,Significant Details,Year Established,Notable Participants,Funding Sources,Supporting Organizations,Attendance,Key Organizers,Event,Organizer,Duration,Opposition Party,Founders,Sponsors,Notable Participants/Supporters,Founding Organization,Founding Members,Awards,Notable Incidents,Significant Features,Locations,Historical Significance,Establishment Year,Organization Name,Events Hosted,Unique Activities,Fundraising Amount,Legal Recognition of Same-Sex Unions,Anti-Discrimination Laws in Employment,Extending Anti-Discrimination Laws to Gender Identity,Hate Speech and Hate Crime Legislation,Civil Unions Legalized for Same-Sex Couples,Rights for Transgender Individuals,Gender Identity Recognition Without Surgical Alteration,Same-Sex Couples' Rights to Foster Care Children,Gay Culture Hotspots,Main Activities,Notable Performers,Rotation Between Baltic Capitals,Opposition Faced,Key Developments,Notable Film,Berlin Pride,CSD Berlin,Opposition,Political Climate,Response to LGBTQ Rights,Significant Activities,Participant Numbers,Venue,Activities,Disruptions,Awards/Honors,Additional Events,Organizational Structure,Support from Local Inhabitants,Number of Attendees in 2018,Estimated Attendees (2014),Largest Attendance Year,Come Out with Pride,Attendance Growth,Features,2001,2002,2003,2004,2005,2006,2018,2019,Hosting Organization,Target Audience,Theme/Purpose,Significant Years,Opposition faced,Entry Details,Unique Events,Inclusion Criteria,International Participation,Activities during Event Week,Historical Background,Attendance Numbers,Activities Organized,Number of Volunteers,Services Provided,CEO,Number of Employees,Key Events,Fundraising Initiatives,Significant Films,Date Observed,Countries Commemorated,Specific Date Chosen,Significant Milestones,Founders/Staff,Awards Received,Start Year,Background,Attendees,Support from Leeds Inhabitants,Organizer Association,Themes Covered,Hiatus/Return,Number of Attendees in 2013,Goals and Aims,Focus/Theme,Related Events,1999,2000,Date of First Event,Volunteer Organizers,Support from Stakeholders,Controversies/Opposition,Attendees at Specific Years,Ban Status,Mr Gay Europe,Current Title Holder,Significant Achievements/Contributions,Year Started,Format,Significant Events,Broadcasting Platforms,Representation,Gaps in Occurrence,Affiliation,Representation Opportunities,Notable Winners,Representation at Mr. Gay World,Focus/Purpose,Cancellations/Alterations,Founding Artist Director,Collaborating Organizations,Gai Jatra Gay March,Nepal Pride Parade,Nepal Pride Parade (Online),Key Activities,Operations Location,Significant Participants,Historical Information,Participants/Supporters,Founder,Notable Appearances,Unique Selling Proposition,Significant Partnerships/Expansions,Support from Warsaw Inhabitants,Significant Performers,1990,2012,Organizations involved,Screening Venues,Co-founders,Renaming Year,Last Parade Year,Previous Name,Transition to Annual Occurrence,Venues,Notable Highlights,Former Name,Founded,Collaborations,Organizers,Genres of Films,Selection Process,Growth in Attendance,Organizing Bodies,Founding Purpose,Sápmi Pride,Criteria for Film Selection,Jury Composition,Prize Amount,Evolution of the Award,Typical Activities,------------------------------------------,Transgender Day of Remembrance,Significant Historical Details,Managing Organization,Affiliations,Local Authority Support,Slogan,Vienna Pride,Host Cities,WorldPride,Organizations,trigger
National Coming Out Day,United States,Annually since 1988,LGBT awareness and support for coming out,October 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Coming Out Day
National LGBTI Day/National Gender and Sexual Minorities' Day,Nepal,Annually,Celebrating LGBTI rights in Nepal,6th Paush,Marks the first legal victory of LGBTI rights in Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Gender and Sexual Minorities' Day (Nepal)
National Queer Arts Festival,San Francisco,Annually since 1998,Queer arts and culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan David Katz,"Harvey Milk Institute, Mission Cultural Center for Latino Art, Center for African and African American Art & Culture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Queer Arts Festival
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Diamond Society,"Queer Youth Group, Queer Rights Collective, Campaign for Change","Queer Youth Group, Queer Rights Collective, Campaign for Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nepal Pride Parade
Heritage of Pride,,,,,,,,,,,,,,,,,,1984,,,,,,,,,,,,,,,,,,,Official NYC LGBTQIA+ Pride Week events producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pride March, Festival, Rally, Outer Borough Events","New York City, Christopher Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City Pride
Nottinghamshire Pride,"Nottingham, England",Annually,,,,"Celebrate diversity and pride of the LGBTQ+ community, provide a safe space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Cheeky Girls, Ruth Lorenzo","First pride festival held as Pink Lace in 1997, renamed Nottingham Pride, venue change to accommodate growing attendance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nottingham Pride
Osijek Pride,"Osijek, Croatia",,,,,,,,,,,,"September 6, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LGBT community, local supporters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osijek Pride
Pink Dot,"Sunset Strip, West Hollywood, California",,,,,,,,,,,,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill Toro,"HBO's Entourage, appeared in movies",Delivery-based grocery store,"Partnership with Ford, Postmates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink Dot
Pride Canterbury,"Canterbury, UK",Annually since 2016,LGBTQ+ pride event and parade,June (rescheduled to Sept),-,Celebrate LGBTQ+ community and allies,,-,"2,000 (2016), 16,000 (2018)","The Marlowe Theatre, Lord Mayor of Canterbury, etc.",,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pride Canterbury
Pride Festival of Central PA,"Harrisburg, PA",Annually,LGBTQ+ pride celebration,Late 1980's - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Musical acts, drag queens, thousands of attendees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pride Festival of Central PA
Pride in Hull,"Kingston upon Hull, England",Annually since 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visit Hull and East Yorkshire REYTA award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marc Almond, Courtney Act, Nadine Coyle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pride in Hull
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First parade in Africa,Clash between activists and organizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pride parades in South Africa
QFest,Houston,,,,,Promoting media arts for communication and cooperation among diverse communities through LGBT films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organizations closely associated with movies,"Landmark Theatres, Angelika Film Center, The Museum of Fine Arts, Houston, Rice Cinema, DiverseWorks Art Space, Aurora Picture Show","Loris Bradley, Sarah Gish, Marian Luntz",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QFest
Queens Pride Parade and Multicultural Festival,"Jackson Heights, Queens",Annually,,,"Second oldest and second-largest pride parade in NYC, sparked by hate crime and rejection of multicultural curriculum",,,"Daniel Dromm, Maritza Martinez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queens Pride Parade
QueerBomb Dallas,Dallas-Fort Worth Metroplex,,LGBTQIA Pride celebration,"June, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QueerBomb Dallas
Rainbow March,"Sapporo, Hokkaido",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow March
Rainbow Reel Tokyo,"Tokyo, Japan",Annually since 1992,,"July 12-21, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo International Lesbian & Gay FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow Reel Tokyo
Salento Pride,Gallipoli/Brindisi,,,,,Celebrate LGBTQI+ community and allies,,,,"Ra.Ne., ACQUE, Arcigay Salento, LA COLLETTIVA transfemminista queer Brindisi, LeA","5,000",,August/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salento Pride
"San Francisco Lesbian, Gay, Bisexual, and Transgender Pride Celebration","San Francisco, California",Annually at the end of June,Celebrating the LGBTQI+ community and their allies,"End of June, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Pride
San Francisco Transgender Film Festival,,,,,,,,,,,,,,,,1997,,,,,,,Shawna Virago,,,,,"Christopher Lee, Alex Austin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,"The Roxie Theater, The Bearded Lady Cafe, The Lexington Club, Mama Calizo's Voice Factory, San Francisco LGBT Community Center, CounterPulse",15th Anniversary Festival features FREE CeCe! documentary presented with ASL interpretation,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Transgender Film Festival
Seksualiti Merdeka,"Kuala Lumpur, Malaysia",Annually since 2008,"Sexuality rights festival, talks, forums, workshops, art, music",August (varies annually),,,,"Pang Khee Teik, Jerome Kugan","400-500, 800-1000",,,,,,,,"Banned in 2011, ties LGBT rights to human rights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seksualiti Merdeka
Shanghai Pride,"Shanghai, China",Annually 2009-2020,LGBTQ+ community,2009: 7-13 June; 2019: 18 May-16 June,"First & largest LGBT event in mainland China, organized by volunteers from the Shanghai LGBT community",,"Tiffany Lemay, Hannah Miller",,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shanghai Pride
Shanghai Queer Film Festival,"Shanghai, China",Annually since 2017,LGBT film festival with a focus on Asian cinema,"September 16-24, 2017",Promotion of Asian queer cinema and representation of diversity in love and freedom,"Screenings, parties, workshops, and discussions for a week",,Tingting Shi,,-,"Volunteer-run, not-for-profit community event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shanghai Queer Film Festival
ShanghaiPRIDE Film Festival,"Shanghai, China",Annually since 2015,LGBT film festival promoting tolerance and awareness through film,June every year,Supports new queer Chinese filmmaking talent,"Promote tolerance and awareness for the LGBT community through film screenings, workshops, and Q&A sessions",,,,"ShanghaiPRIDE, filmmakers, Shanghai arts scene","Filmmakers, LGBT community members, general public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShanghaiPRIDE Film Festival
Sofia Pride,"Sofia, Bulgaria",Annually since 2008,"Peaceful march for LGBT rights and human rights, entertainment",,"Largest public demonstration for human rights in Bulgaria, against prejudice",,"""Action"" NGO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sofia Pride
The Way OUT West Film Fest,"Albuquerque, Santa Fe, New Mexico",,"Showcasing international LGBT films from drama, comedy, documentaries, and local projects",Late September to Early October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southwest Gay and Lesbian FF,2003,Albuquerque Int'l Balloon Fiesta,Closet Cinema,"Drama, Comedy, Documentaries","Private screenings, open reviews, national film festivals","1,500 attendees in 2003, Growing over the years",,,,,,,,,,,,,,,,,,,,Southwest Gay and Lesbian Film Festival
Split Pride,Split,,,,"Second city in Croatia after Zagreb to hold an LGBT pride parade, faced violent protests",,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,Anti-gay protesters threw objects at activists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kontra, Iskorak, Dominoes",,,,,,,,,,,,,,,,,,,Split Pride
Swansea Pride,"Swansea, Wales",,,,,,Gayswansea.com volunteers,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To organize an outdoor Pride event in Swansea for the local LGBT community, raise awareness for HIV and AIDS charity",,,,,,,,,,,,,,,,,,Swansea Pride
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,S谩pmi Pride
Taiwan Pride,Taipei,Annually since 2003,LGBTQ pride parade,Last Saturday of October,,,Taiwan LGBT Pride Community,,"200,000+",,,,,,,,"Largest gay pride event in East Asia, organized as a social movement, shares road with cars and bystanders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan Pride
Teddy Award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Films with LGBT topics,Organizers of gay and lesbian film festivals,"3,000 Euros","Renamed from Teddy Bear Award, still shaped like a teddy bear",,,,,,,,,,,,,Teddy Award
Tel Aviv Pride,Tel Aviv,,,,Largest LGBT Parade in Asia,,,,"Over 250,000",,,,Second week of June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Aviv Pride
Transgender Awareness Week,,,,,,"Educate about transgender issues and identities, lead up to Transgender Day of Remembrance",,,,,,,November 13 - November 19,,,,,,,,,,,,,,,,,"San Francisco Mayor London Breed, Clair Farley",,,,,,,Pivotal moments in transgender advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Educational events, movie screenings, personal testimonies, book discussions, art shows",,,,,,,,,,,,Transgender Awareness Week
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-------------------------,"Nov 20, 1999 - Present",,,,,,,,,,Transgender Day of Remembrance
Twin Cities Pride,"Minneapolis and St. Paul, Minnesota",Annually in June,"Celebrating LGBT community, pride parade",Annual celebration in June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twin Cities Pride
UK Black Pride,London,,,,"Europe's largest celebration for LGBTQ people of African, Asian, Middle Eastern, Latin American, Caribbean heritage",,,,"8,000",,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK Black Pride
Utah Pride Festival,Salt Lake City,,Celebrating Utah's diversity and LGBTQ+ community,June,,,Utah Pride Center,,,,,,,,,,,,"Mayor Rocky Anderson, Rep. Jackie Biskupski, public figures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Founded in 1977, key speakers David Kopay and Leonard Matlovich, evolved from Salt Lake Coalition for Human Rights",,,,,,,,,Utah Pride Festival
Varese Pride,"Varese, Italy",,,,,,,,,,,2016,,,"3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcigay Varese,"InterPride, EPOA",Not supported by Municipality of Varese,"""Esistiamo""",,,,,Varese Pride
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOSI Wien,,,,Vienna Pride
March against Homophobia and Transphobia,Ankara,Annually since 2003,LGBT pride parade and demonstration,Last Sunday of June or first Sunday of July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walking against Homophobia and Transphobia
,,,,,,,,,,,"18,599",2006,,,,,"Largest international sports event in Montreal since the 1976 Summer Olympics, organized as a response to sanction issues with the Gay Games",,,,,,,World Outgames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal,,,World OutGames
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InterPride,,WorldPride
,,,,,"First successful pride march in Southeast Europe, inspired by Stonewall",,Volunteer Committee,,,,,2002,,,,,,,,,,,,Zagreb Pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multimedia Institute, Iskorak, Kontra, CMS",Zagreb Pride
