Ship Name,Lives Lost,Date Sunk,Responsible Party,Location,Full Name,Region,,Original Name,Birthplace,Borders,Origin,Name,Population,Casualties,Sinking Date,Construction,Role,Historical,Builder,Launch Date,Ship Type,Propulsion,Title,Etymology,Capital,Year Built,Family Background,Type,Sinking,Education,Historical Significance,Notable Event,Significance,Yard Number,Owner,Purpose,Fate,Notable Battles,Parents,Area,History,Promotions,Specifications,Torpedoed by,Dimensions,Ownership History,Divisions,Career,Ship Class,Language,Occupation,Geography,Built,UNESCO World Heritage Site,Death,Details,Troopship,Key Modifications,Service Years,War,Sunk by,Gross Register Tons,Length Overall,Length Between Perpendiculars,Beam,Holds,Key Event,Prisoners Aboard,Survivor Count,Construction Yard,Completion Date,Key Characteristics,Family Heritage,Military Education,Graduation Year,Command Style,Highest Point,Definition,Alternative,Most Populous City,Productivity,National Park,Types of Ceramics,Historical Development,Properties,Manufacturing Process,Use,Former Names,Disbandment,Relegations,Ownership,Name Change,League Standings,Maiden Voyage,Cause of Sinking,Impact,Geology,Size,Modern Use,Mythological Role,Sisters,Associated Instruments,Family Ties,Depictions,Residence,Nationality,Years in Office,Relationships,Political Ideology,International Status,Scandal,Defining Moment,Legacy,Ancestry,Linguistic Skills,Date of Incident,Final Fate,Extends,Includes,Overlaps with,Hebrew Meaning,Quote,Historical Context,Archaeological,Roman Conquest,Assimilation,Nickname,Birthdate,Early Life Incidents,Alliances,Victories,Nickname Origin,Birth Date,Marital Status,Career Milestones,HMS Aboukir,HMS Avenger (1695),HMS Avenger (1758),HMS Avenger (1845),HMS Avenger (1914),HMS Avenger (1940),HMS Avenger (R73),HMS Avenger (D185),HMS Avenger (F185),HMS Avenger (P198),HMS Barham,HMS Courageous,Pennant Number,Commission Date,Notable Missions,Captured Vessels,Reuse of vessels,Tonnage,Seized By,Royal Navy Commission Date,Commanding Officer,Notable Crew,Operations,HMS Formidable (1751),HMS Formidable (1777),HMS Formidable (1799),HMS Formidable (1825),HMS Ham (ex-French Formidable),Planned HMS Formidable (1825),HMS Galatea,HMS Hawke,Planned,HMS Penelope,* Inshore Squadron (1809),* Java (1811),* Java (1814),* Baltic (1855),* Mediterranean (1855-56),* Jutland (1916),* Aegean (1943),HMS Royal Oak (1664),HMS Royal Oak (1709),HMS Royal Oak (1769),HMS Royal Oak (1852),HMS Royal Oak (1892),HMS Royal Oak (08),HMS Royal Oak (1958),Gross Tonnage,First Owner,Armament,Involvement,Speed,Features,Built By,Passenger Capacity,Service History,Role in WWI,Tragic Event,Owners,Routes,Reign,Modernization,Philosophy,Policies,Recognition,Debt Issue,Removal,Newspaper,Establishment,Merger,Founders,Previous Owners,Current Owner,Publisher,Circulation,Administrative Capital,Bodies of Water,Landforms,Agriculture,Main Orange Producer,Landmark,Kingdoms,Subdivision,Counties,ISO Code,Flag,Origins,Notable King,Province Name,Modern Location,Initial Status,Establishment as Province,Significant,Family,Disability,Influence,Career Path,Oratory Skills,Profession,Achievements,Early Life,Personal Life,River Name,Alternative Names,Flow,Length,Importance,Evolution,Shifts,Usage,Official Name,Indigenous People,Historical Facts,Culture,Captain,Sinking Location,Survivors,Lifeboat Capacity,Number in Lifeboat,Rescued,Unique Survivor,Survivor's Account,City Name,Population (2020),Foundation,Sources of Income,Fortress,Architectural Style,Tourist Attractions,Term,Birth Year,Marriage,Children,Burial Place,Captured By,Year Scrapped,Completion,Operator,Capture Date,Capture Location,War Prize,Renamed To,Management,Convoys,Sister Ship,Key Battles,Program Inclusion,Post-Treaty Freedom,Displacement,Top Speed,Aircraft Capacity,Protection Level,Design Elements,Appearance,Association,Infrastructure,Commercial Status,University,Climate,Admiral,Born,Wars,Notable Achievements,Built for,Funnel,Passengers,Conversions,Captured by,Role in World War II,Unique Feature,Provinces,Geographic,Prehistoric,Caves,Open-air site,Natural Borders,Broader Regions,Major Cities,UNESCO Sites,Historical Rule,Middle Ages,Ottoman Rule,Habsburg Control,Austro-Hungarian,Treaty,Country,Description,Economy,Debut,Top Division Debut,Highest Rank,Kinboshi,Retirement,Post-Retirement,Succession of Elder Names,Judo Background,Promotion History,Titles,Metropolitan Area,Tourism,Cultural Landmarks,Affiliation,Leadership,NSDAP Involvement,Assassination,Shooter,Legal Action,Funeral,Propaganda Impact,Aftermath,Tractate Number,Chapters,Content,Gemara Sources,Main Topics,trigger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home to three universities and a large student population,,,,,,,,,,,"Traces of settlements dating back to the Neolithic Age, Roman origins in 15 BC, rebirth under Saint Rupert in the 8th century",,,,,,,,,,,,,Listed in 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salzburg,"156,872","Founded as an episcopal see in 696, became a seat of the archbishop in 798","Salt extraction, trade, and gold-mining",Hohensalzburg - one of the largest medieval fortresses in Europe,"Mainly Baroque, with numerous monasteries and churches built in the 17th century","Historic center, scenic Alpine surroundings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salzburg
,,,,,Sebastiano Venier,,Later moved to Basilica di San Giovanni e Paolo,,,,,,,,,,Venetian admiral at the Battle of Lepanto,,,,,,Doge of Venice,,,,Son of Moisè Venier and Elena Donà,,,,,,,,,,,,,,,,,,,,,Lawyer and government administrator,,,,,,,3 March 1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 June 1577 to 3 March 1578,Around 1496,Married Cecilia Contarini,Daughter Elena Venier,Initially at Santa Maria degli Angeli of Murano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastiano Venier
Seisho Maru,Unknown,November 1944,U.S. Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seisho Maru
,,,,,,,,,,,"Stabilimento Tecnico, Trieste",,,,,,,,,25 May 1922,,,,,,,,Refrigerated Cargo Ship,,,,,,736,,,,,,,,,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Navy,1968,1 December 1922,"Navigazione Liberia Triestina, Trieste (1922-1937), Lloyd Triestino, Trieste (1937-1941)",14 February 1941,"Kismayu, Italian Somaliland",Yes,"Empire Arun (1941-1947), Granlake (1947-1949), Dryad (1949-1951), Shiranesan Maru (1951-1962), Dainichi Maru (1962-1968)","Ministry of War Transport, Union-Castle Mail Steamship Co.","OS 17, SL 141, SC 156, SC 162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiranesan Maru
,,,,,,,,,,,,,,,,"Laid down: 12 December 1937, Launched: 1 June 1939, Commissioned: 8 August 1941",,,,,,,,,,,,,Torpedoed and sunk by USS Cavalla at the Battle of the Philippine Sea,,,,,,,,,,,,,,,,,,,,Shōkaku-class aircraft carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zuikaku,"Attack on Pearl Harbor, Battle of the Coral Sea, Battle of the Santa Cruz Islands, Battle of the Philippine Sea (sinking)",Part of the program along with Yamato-class battleships,No longer subject to restrictions of the Washington Naval Treaty,"Approximately 32,000 long tons",34 knots,70-80 aircraft,Enhanced protection compared favorably to contemporary Allied carriers,"Resembled an enlarged Hiryū, with larger dimensions and improved bow design","Raised forecastle, wider beam, larger island, improved seakeeping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sh艒kaku
,,,,"Capital of the Sidi Bel Abbès wilaya, Algeria",,,,,,,,"Sidi Bel Abbès, also called Bel Abbès",,,,,,,,,,,,,,,,,,,Named after Muslim marabout Sidi bel Abbass,,,,,,,,,,,,,,,,,,,,,Located 75 kilometers from the Mediterranean Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closely linked with the French Foreign Legion,Development from a French camp in 1843,"Commercial center for vineyards, orchards, etc.",Home to a university,Hot-summer Mediterranean climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidi-Bel-Abb猫s
Suez Maru,548,29 November 1943,USS Bonefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suez Maru
,,,,,,,,,Château de Saint-Cannat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Siege of Savannah, battles against Vice-Admiral Sir Edward Hughes",,,,"Captain in 1772, Vice-Admiral post-war",,,,,,,,,,,,,Shortly before taking command of the Brest squadron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierre André de Suffren de Saint Tropez,17 July 1729,"Seven Years' War, American Revolutionary War",Secured French dominance in Indian waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suffren
Cap Finisterre,800+,1942,American submarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiy艒 Maru聽
Taiyō Maru,688,19 October 1944,USS Darter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiy艒
,560,24 June 1944,USS Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamahoko Maru
Tamatsu Maru,"4,406 - 4,755",19 August 1944,USS Spadefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamatsu Maru
,"Approximately 3,000",25 February 1944,USS Rasher,,,,,Rendsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tango Maru
Tatsuta Maru,Unknown,15 March 1930,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsuta Maru
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle for convoy Hi-71 during the defense of the Philippines in 1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messageries Maritimes for France-Southeast Asia colonial route,Square-shaped,"1,045 civilian passengers in first, second, third, and steerage class","Converted to an armed merchant cruiser in World War II, demilitarized in June 1940","Japan in 1942, renamed Teia Maru",Served as a repatriation ship and transport between Singapore and Japan,Minoan decor with 'Neo-Aegean' design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teia Maru
,,,,"Tigray Region, Ethiopia",,Tembien,"Pastoral Neolithic sites in Aregen, Menachek",,,East: Enderta Province,,,,,,,,,,,,,,,"Melfa (original), Abiy Addi (current)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly split into Dogua Tembien and Kola Tembien,"Mountainous area, reaching 2828 meters above sea level",Middle Stone Age sites in Ayninbirkekin,"Dabo Zellelew, Mihdar Ab’ur, Danei Kawlos",May Ila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tembien
Toyama Maru,"5,400",29 June 1944,USS Sturgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyama Maru
,,,,Central Romania,,Transylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carpathian Mountains (east and south), Apuseni Mountains (west)","Crișana, Maramureș, Banat","Cluj-Napoca, Brașov, Sibiu, Târgu Mureș, Alba Iulia, Sighișoara","Villages with fortified churches, Historic Centre of Sighișoara, Dacian Fortresses, Roșia Montană Mining Landscape","Agathyrsi, Dacian Kingdom, Roman Dacia, Hunnic Empire, Kingdom of the Gepids, Avar Khaganate, Bulgarian Empire",Part of the Kingdom of Hungary,Principality under Hungarian princes with dual suzerainty under the Ottoman Empire,"Became part of Habsburg monarchy through Hungarian crown, ruled by imperial governors",Incorporated into Kingdom of Hungary as part of the Austrian-Hungarian Empire,Became part of Kingdom of Romania by Treaty of Trianon in 1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transylvania
,,,,,,Trentino-Alto Adige/Südtirol,,,,,,,"120,709",,,,,,,,,,,,,,,,,University of Trento recognized for its international reputation and ranking among Italian universities,"Council of Trent, part of Austria and Austria-Hungary, annexed by Italy in 1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,"Capital of the autonomous province of Trento, picturesque Medieval and Renaissance historic center","Wealthiest and most prosperous city, province with high GDP per capita and nominal GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,Trento
Tsushima Maru,"1,729","August 22, 1944",USS Bowfin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsushima Maru
,,,,,Shikishima Katsumori,,"Promoted to jūryō in May 1993, and makuuchi in November 1994",,,,"Funabashi, Chiba, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 1989,November 1994,Maegashira 1,"Earned two kinboshi for yokozuna upset, defeating Takanohana twice in 1998",Retired in May 2001 due to a heart ailment,Became an elder of the Japan Sumo Association and coach at Michinoku stable,Since 2013 known as Urakaze,"Did judo while in high school, joined Tatsutagawa stable in January 1989",Won the makushita division championship in January 1992,Won the jūryō championship in March 1994,,,,,,,,,,,,,,,,,,Urakaze
Ural Maru,"3,700",27 September 1944,USAAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ural Maru
USS Juneau,Approximately 1000,13 November 1942,Japanese submarine I-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USS聽Juneau
,,,,"Veneto, Italy, on the Adige River",,,,,,,,,"258,031 inhabitants",,,,,,,,,,,,,,,,,,"Ruled by the della Scala Family, Shakespeare settings",,,,,,,,,,,,,,,,,,,,,,,Designation received in November 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,426 km2, 714,310 inhabitants",Main tourist destination in northern Italy,"Arena, ancient Roman amphitheater, historic monuments",,,,,,,,,,,,,,,Verona
,,,,,,,,,,,,Wilhelm Gustloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meteorologist, worked for Swiss government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Founder of Swiss NSDAP/AO,Led the organization from 1932-1936,"Joined NSDAP in 1927, distributed propaganda",Shot and killed in Davos in 1936 by David Frankfurter,"David Frankfurter, Yugoslav Jewish student","Shooter surrendered to Swiss police, confessed, sentenced to 18 years","State funeral in birthplace of Schwerin, attended by high-ranking Nazis",Murder used for propaganda during 1938 Kristallnacht pogrom,Gustloff's widow received monthly payment from Hitler,,,,,,Wilhelm Gustloff
