Location,Date,Casualties,Cause of Explosion,Impacts,Response and Aftermath,Depot Details,Aftermath,Cause,Owner,Time,Additional Details,Aftermath and Response,Number of Injuries,Details,Impacts and Aftermath,Mine Details,Ship Details,Impacts and Response,Details of Incident,Cause of Accident,Impact,Injuries,Significance,Impacts/Aftermath,Factory Details,Operator,Details of Gunpowder Storage Facility,Area of Impact,Specific Details,Description,Type of Missile,"ARCO Chemical, Channelview, Texas",Industrial Context,Extent of Damage,Warning Signs Ignored,Companies Involved,Fines,Details of Explosion,Cause of Explosions,Area Impacted,Response Measures,Plant Details,2013,6 fatalities initially reported,Details of Buildings,Response by Consolidated Edison,NTSB Findings,Impact on Metro-North Railroad Tracks,Company,Response,"October 1, 2014",---------------,Factory completely destroyed,"Huge craters left behind, debris flying","Previous citations for outdated equipment, improperly stored explosives",Specific Details of the Incident,Confirmed Casualties,People in Mine at Time of Explosion,Conflicting Reports by Local Rebels,Call for Access by Ukrainian President,Vehicle Involved,Area of Explosion,Aftermath/Legal Proceedings,Response Time,Background,Facility Details,Fire Brigade Response,Official Actions,Property Damage,Homeless Population,Storage Details,Seismic Impact,Government Response,State of Emergency,Protests Against Government,Economic Crisis,Number of Floors,Safety Measures,Victims,Explosions,Investigation,Previous Incident,25 June 2020,30 June 2020,Time of Explosion,Gas Leak Details,Area of Incident,Colliery Details,Aftermath and Controversies,Event Site Details,Key Details of Incident,Cause of Derailment,Key Details,Gunpowder Store Details,Site Details,Gunpowder Theft Details,Historical Connections,Vehicles Involved,Statements by Officials,"June 1, 1974",Additional Information: Casualty figures could have been higher on a weekday; lack of mechanical engineering expertise in management; impact on UK process safety regulations and Seveso Directive in Europe; change in plant production from fertiliser to caprolactam,Area of Fire,Company Details,Aftermath and Responses,Blast Area Damage,Consequences,Identified Causes,Railway Details,Housing Complex Details,Related Incidents,Extent of Impact,Duration of Repairs,Responsible Party,Fines Imposed,Legal Actions,Fatalities,Main Cause,Monetary Damage,Responsible Parties,Legal Outcome,Significant Impacts/Aftermath,Rocket Details,School Details,Owner/Operator,Impacts or Aftermath,"May 4, 1988","**Please note that the provided table covers the main details of the explosion, such as the date, location, casualties, cause of the explosion, and the area affected. Further details can be added as needed.",Founding Date,Founders,Headquarters,Primary Operations,Notable Achievements,Aftermath and Impact,Incident Details,Aftermath and Investigation,Number of Fatalities,Number of Buildings Damaged,Estimated Cost of Damage,Details of Vehicles Involved,"January 30, 1900",Additional columns that could be included:,- Time of the explosion,- Name and brief background of the individual killed,- Any official investigations conducted,Miners Underground,"January 28, 1986",Additional Information:,- The accident occurred during the Space Shuttle Challenger's tenth flight (STS-51-L) and twenty-fifth flight of the Space Shuttle fleet.,- Crew members were supposed to deploy a communications satellite and study Halley's Comet.,- The disaster was caused by the failure of O-ring seals due to record-low temperatures.,- The accident led to the disintegration of the spacecraft over the Atlantic Ocean.,- Fragments were recovered from the ocean after a search-and-recovery operation.,Building Details,Refinery Details,Aftermath and Consequences,Magnitude of Explosion,--------------,"April 17, 2013",trigger
"Arzamas, Soviet Union","June 4, 1988","91 dead, 1,500 injured",Violation of loading and transport rules of explosives,"151 buildings destroyed, 250 meters of railway track damaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Theories of a terrorist act, possible foreign special services involvement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arzamas train disaster
"Atomic Junction, Madina, Accra, Ghana","October 7, 2017","7 dead, 132 injured",,Nearby Total Filling Station caught fire,"Evacuation of residents, presence of emergency services, unknown source, property damage",,,Liquefied natural gas station explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atomic Junction Gas Explosion
"Avonmouth, Bristol, UK",3 December 2020,"4 dead, 1 injured (including a 16-year old)",Silo containing biosolids exploded,,"Major incident declared, emergency services response, ongoing investigation as of December 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Operated by GENeco, a subsidiary of Wessex Water, products include biomethane produced by anaerobic digestion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avonmouth explosion
"Ibn al-Khatib hospital, Baghdad, Iraq","April 24-25, 2021",82 dead,Explosion of oxygen tanks for COVID-19 patients,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baghdad hospital fire
"Benton, Tennessee","May 27, 1983","11 dead, 1 injured",Explosion at illegal fireworks factory,,,,"21 individuals convicted including the factory owner, deadliest event in US history involving illegal fireworks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Largest illegal fireworks operation in US history, national attention, federal investigation, multiple convictions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benton fireworks disaster
"CSX Transportation Big Bayou Canot Bridge, Mobile, Alabama, US","September 22, 1993","47 killed, 103 injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barge collision leading to displacement of span and deformation of rails,Deadliest Amtrak train wreck in history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Bayou Canot rail accident
"Braamfontein, Johannesburg",19 February 1896,"Over 70 killed, 200+ injured",Impact of shunter on train with dynamite,,,,"Crater left, heard up to 200 km away, 3000 people homeless, suburbs damaged, memorial at cemetery, artist tribute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braamfontein Explosion
"Brazzaville, Republic of the Congo",4 March 2012,"300+ killed, 2,500+ injured, 121,000 homeless",Fire at army arms dump,"$672 million in damages, widespread destruction, hospitals overwhelmed","Defense Minister urged calm, many trapped in collapsed buildings, significant damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazzaville arms dump blasts
"Brescia, Italy","August 18, 1769","Varies (reported up to 6,000)",Lightning strike on gunpowder store,,,,,,,,,,,,,,,,,,"Extensive destruction, many deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,000 kg stored by Republic of Venice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brescia explosion
"Hertfordshire, England","December 11, 2005",Not specified,Fuel-air explosion in a vapour cloud,,,TOTAL UK Limited and Texaco owned oil storage terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buncefield fire
"Qala, Gozo, Malta",7 September 1984,7 dead,Illegal fireworks explosion during dumping operation,,,,,,,,"Patrol boat C23 severely damaged, 5 soldiers and 2 policemen killed, only survivor severely injured, boat repaired and returned to service with name P23, later decommissioned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C23 tragedy
"Cali, Colombia","August 7, 1956","1,300+ dead, 4,000+ injured",Explosion of 7 army ammunition trucks loaded with dynamite,"Destruction of 41 blocks, 50m wide crater, 6 affected districts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cali explosion
"Celaya, Mexico","September 26, 1999","63 killed, 348 injured",Detonation of illegally stored fireworks and gunpowder,,,,"Arrests of inspectors and business owners, government investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celaya fireworks disaster
"Kurchaloi near Grozny, Chechnya","February 8, 2006","13 killed, 28 injured",Possible gas leak,Building collapse,,,"Investigation, potential gas leak confirmation, separatist responses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chechnya Spetsnaz base explosion
"Tarragona, Catalonia, Spain",14 January 2020,"3 dead, 7 injured",Explosion at Chemical Industries of Ethylene Oxide site,"Fire, large smoke plume, 500-metre exclusion zone, closures, confined residents","Firefighter deployment, controlled burning of propylene oxide, off-site fatalities, investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Operated by IQOXE, producer of ethylene oxide, covered by Seveso-III directive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemical Industries of Ethylene Oxide explosion
"Wulong District, Chongqing, China",7 January 2022,"16 dead, 10 injured",Gas leak in canteen building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chongqing explosion
"Clarkston, East Renfrewshire, Scotland",21 October 1971,21 or 22 deaths,Gas main leak,,,,"Inquiry held, verdict of no fault assigned, plaque and tribute for victims",,,,,,,"Gas build-up in underground space, accidental ignition, shops destroyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clarkston explosion
"Cork, Ireland",3 November 1810,"22 killed, over 40 injured",Gunpowder stored in labourer's house,,,,"Disaster fund opened, £12,000 subscribed, warnings by local newspaper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees from Ballincollig Royal Gunpowder Mills stealing gunpowder for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cork gunpowder explosion
"Cádiz, Spain",18 August 1947,"147 dead, 5,000 injured","Explosion of 1,737 sea mines, torpedoes, and depth charges",,,"200 tonnes of TNT and amatol, Base de Defensas Submarinas storage depot. Significant damage to populated areas including San Severiano and San José. Destruction of various buildings and shipyard. Suspected sabotage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C谩diz Explosion
"Delft, Netherlands",,,,,,,,,,,,,,,,,,,,,,,"Dutch Golden Age, birthplace of microbiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"House of Orange-Nassau, blue pottery, Jan Vermeer, Delft University of Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delft Explosion聽
"Cliff of Dschang, Santchou, Cameroon","January 27, 2021","53 killed, 29 injured",,,,,,,,,,,,,,,,,,Collision due to brake problem and fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passenger bus vs. fuel-carrying truck,Governor mentioned fog and brake issue; Transport Minister attributed negligence in fuel transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dschang bus-truck crash
"Dublin, Ireland",11 March 1597,"126 dead, numerous injured",Accidental gunpowder explosion,,,,,,,,,,,,,,,,,,,,,"Destruction of 40 houses, rebuilding efforts, significant expansion of Dublin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin gunpowder explosion
"Enschede, Netherlands",13 May 2000,"23 dead, 1,000 injured",Fire at S.E. Fireworks depot leading to huge explosions,"400 homes destroyed, 1,500 buildings damaged, 1,250 people homeless, asbestos released into the air","Fire crews from Germany, area around warehouse destroyed, 10,000 residents evacuated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enschede fireworks disaster
"Longford, Victoria, Australia",25 September 1998,"2 dead, 8 injured",Pump failure leading to gas explosion,Disruption of gas supplies for two weeks,,,,,Esso (ExxonMobil subsidiary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esso Longford gas explosion
"Evangelos Florakis Naval Base, Mari, Larnaca, Cyprus",11 July 2011,"13 dead, 62 injured",Self-detonation of military ammunition and explosives,,,"98 containers of high explosive artillery shells, gunpowder, primers, and seized explosives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelos Florakis Naval Base explosion
"Dhaka, Bangladesh",20 February 2019,"80 dead, 50 injured",Gas cylinder explosion in road accident,"Spread to buildings, deaths, injuries","Fire reported at 22:38, under control by 03:00, ban on chemical warehouses in the city",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2019 Dhaka fire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nypro UK and British National Coal Board chemical plant; production of caprolactam from cyclohexanone,Additional Information: Casualty figures could have been higher on a weekday; lack of mechanical engineering expertise in management; impact on UK process safety regulations and Seveso Directive in Europe; change in plant production from fertiliser to caprolactam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flixborough Disaster
"Formosa Fun Coast, New Taipei City, Taiwan",27 June 2015,"508 injured, 15 dead, 199 critical condition",Dust fire,Airborne corn starch ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formosa Fun Coast explosion
"Freetown, Sierra Leone",5 November 2021,"151 deaths, 304 injuries",Collision between fuel tanker and lorry leading to explosion and fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freetown fuel tanker explosion
"Sanko University Hospital, Gaziantep, Turkey",19 December 2020,9,,,,,,Oxygen cylinder explosion,,4:45am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intensive Care Unit (COVID-19 patients),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaziantep hospital fire
"Gbomblora, Gbomblora Department, Burkina Faso",21 February 2022,"60 killed, 100+ injured",Likely related to gold treatment chemicals,Major and smaller explosions occurred at the mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gbomblora explosion
"Newcastle and Gateshead, North East England","October 6, 1854","53 killed, hundreds injured",Fire and explosion,,,,,,,,,,,Mill premises of Messrs. J. Wilson & Sons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great fire of Newcastle and Gateshead
"Whitemarsh Township, Pennsylvania (between Camp Hill station and Fort Washington station)","July 17, 1856","59-67 dead, 100+ injured",Collision of two trains on same track traveling in converging directions,,,,,,,,,,,,,,,,"Deadliest railroad catastrophe at the time, referred to as The Camp Hill Disaster and The Picnic Train Tragedy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Train Wreck of 1856
"Halifax, Nova Scotia, Canada",6 December 1917,"1,782 dead, 9,000 injured","SS Mont-Blanc colliding with SS Imo, explosion","Massive devastation, largest human-made explosion at the time, 2.9 kilotons of TNT equivalent","Hospitals overwhelmed, relief efforts, widespread damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halifax Explosion
"Hitrino, Shumen Province, Bulgaria","December 10, 2016","7 dead, 29 injured","Derailment, explosion, fire","50 buildings engulfed, evacuation ordered","150 firefighters extinguished blaze, injured taken to Shumen and Varna hospitals","Bulmarket freight train carrying propane-butane and propylene derailed, struck a power line pole, ignited, and exploded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hitrino train derailment
"Calgary, Alberta","August 9, 1999",2 fatalities,Industrial accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hub Oil Company Ltd. - Recycling used lubricating oil, oil filters, plastic oil containers, and antifreeze, products, and sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hub Oil explosion
"Humberto Vidal shoe store, Río Piedras, Puerto Rico","November 21, 1996","33 dead, 69 wounded","Gas explosion, building collapse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Federal aid, NTSB investigation, denial of responsibility by San Juan Gas Company",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humberto Vidal explosion
"Davutpaşa, Istanbul, Turkey",1 February 2008,"22 dead, 100+ injured",Accidental explosion at unlicensed fireworks factory,,,,,,,,"Multistory workshop complex shared with paint, socks, and textiles manufacturers, two separate explosions reported, building partially collapsed, factory operating illegally despite prior shutdowns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istanbul fireworks explosion
"Musalmiya, northern Syria near Aleppo",26 July 2007,"15 killed, 50 wounded","Accidental detonation of ammunition dump, possibly caused by Syrian chemical weapons experiment",,,,,,,,"Explosion allegedly occurred at a military missile base due to explosive materials igniting, discrepancies in official explanation reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 2007 Syrian arms depot explosion
"Kafr El Zayat, Egypt",10 December 2013,"14 killed, 6 injured",Fuel truck explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kafr Elle Zayat fuel truck explosion
"Kōriyama, Fukushima Prefecture, Japan",30 July 2020,"1 death, 19 injured",Suspected propane cylinder failure,,,,"Investigation ongoing, damage to surrounding buildings reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 450 meters away from the epicenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K艒riyama explosion
"Lac-Mégantic, Quebec, Canada","July 6, 2013",47 dead,Unattended train derailment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 buildings destroyed, petroleum contamination","Train left unattended, insufficient brakes, lack of safety mechanism","Montreal, Maine and Atlantic Railway operations in the area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lac-M茅gantic rail disaster
"LaSalle, Quebec, Canada","March 1, 1965","28 dead, 39 injured",Gas line explosion,,,,"Homeless, left for work, details of affected units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Low-cost housing units, constructed in 1955-1956, 678 units, rents ranged from $30-$57, 25 'U'-shaped buildings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaSalle Heights disaster
"Kemerovo Oblast, Russia",25 November 2021,"Over 40 miners suffocated, 5 rescuers killed",Smoke from fire in ventilation shaft,,"Last inspected on November 19, miners complained of methane levels, previous fire reported",,,,,,,,,,,"Part of SDS-Holding, owned by Siberian Business Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Methane explosion in 2004, Vorkuta mine disaster in 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listvyazhnaya mine disaster
"Alcanar, near Tarragona, Spain",11 July 1978,"217 killed, 200 severely burned",Highly flammable propylene in tanker truck,,,Enpetrol refinery in La Pobla de Mafumet loaded truck with propylene over design load,,,Cisternas Reunidas S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Alfaques disaster
"Louisville, Kentucky, United States","February 13, 1981",4 injured,Ignition of hexane vapors from Ralston-Purina plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extensive damage, 13 miles of sewer lines and streets destroyed",About two years,Ralston-Purina,$85 million,"Lawsuit settlement, guilty plea, federal fines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louisville sewer explosions
"Magude, Portuguese Mozambique",27 March 1974,"70 dead, 200 injured",Head-on collision of passenger and freight trains,,,,,,,,,President Tolbert sends condolences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magude train disaster
