Satellite Name,Launch Date,Launch Vehicle,Other Names,Launch Time (UTC),Manufacturer,Design Life,Orbit Details,Orbital Period,Inclination,Launch Site,Operator,Purpose,Current Status,Configuration,Orbit Perigee,Orbit Apogee,PRN Signal,Constellation Slot,Orbit Inclination,Mass at Launch,Orbit Period,Satellite Bus,Operational Status,Milstar Block I DFS-1,Milstar Block I DFS-2,Milstar Block II (first satellite),Expected Lifespan,Communication Payload,Propulsion System,Payload,Power Source,Notable Incidents,Mission,Mission Duration,Mission Description,Mission Designation,Weight,Program Manager,Mission Objectives,Dimensions,Launch Time,Secondary Payloads,Orbital Inclination,Orbit,Mass,Launch Outcome,Deployment Status,Mission Details,Orbit Location,Landing Location,Deployment Details,Landing Site,Landing Time (UTC),Type,Additional Details,Project Status,Related Incidents,Primary Contractor,Delta-v,Final Status,Design,Performance,Designers,Launch Location,Modifications,Wing Dimensions,Number of Spacecraft,Main Objective,Program Funding,Fourth Stage Developer,Technical Features,Primary Mission Outcome,Satellite Names,Funding,Development Funding Source,Key Technology Features,Funding Source,Unique Characteristic,Program Name,Announced by,Announcement Date,Advanced Weapon Concepts Studied,Organization overseeing development,Year of establishment of SDIO,Directed by,Technologies Studied,Research Investment Focus,Lead of Innovative Sciences and Technology Office,Research Funding Sources,Contributions to Science and Engineering,Conclusion by American Physical Society,Destruction Details,Development Contractors,Launch Weight,Destruction Method,Details,Liftoff Time (UTC),Primary Payload,Background Information,COSPAR Code,Specific Use,Record,Mission Type,Antennas,Antenna Diameter,Director,Liftoff Direction,Official Updates,International Desig.,Payloads,Orbit Type,Operational Handover,Imaging Capabilities,Carrier Rocket,Deployment Orbit,Features,Postponed Launch Date,Records Broken,Landing Date,Orbit Duration,Operator/Manufacturer,Space Segment,Control Segment,Terminal Segment,Expected Operational Life,Flight Number,Notable Incident,Mission Logo,Payloads onboard,Significant Achievements,Orbital Position,System Segments,Bandwidth,Procurement Details,Longitude,System Components,Procurement,Key Feature,Bus Type,Sensors,Key Features,Notable Capabilities,Orbital Location,International Partners,Longevity,Objectives,Onboard Payloads,Duration in Orbit,Controversy,Reason for Failure,Launch Sequence,Tail Number,Deorbit Purpose,Primary Function,Purpose/Usage,Misty (1st Satellite),Misty (2nd Satellite),Misty (3rd Satellite),Shuttle Used,Crew Change,Payload Description,Notable Outcome,Development Entity,trigger
USA-277,"September 7, 2017",Falcon 9,Orbital Test Vehicle 5,,,,,,,,Air Force Space Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5°,,,,,,,Shuttle Landing Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classified,"Experimental oscillating heat pipe, cubesats (USA 295, 296, 297)",780 days,Accusations of breaking Registration Convention,,,,,,,,,,,,,,,USA-277
USA-280,8 January 2018,SpaceX Falcon 9,,,Northrop Grumman,,,,,,,Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satellite loss during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failure to separate from payload adapter,,,,,,,,,,,,,,USA-280
USA-282 (SBIRS GEO-4),,Atlas V (411 configuration),,,Lockheed Martin Space,,,,,,,"Missile early warning, missile defense, battlespace awareness, technical intelligence",,"Third geostationary SBIRS satellite, Satellite Vehicle 3",,,,,,,,A2100M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stored after completion, launched out of sequence due to cost saving",AV-076,Deorbit burn planned for Centaur upper stage,,,,,,,,,,,USA-282
"USA-288 (Advanced Extremely High Frequency 4, AEHF-4)",17 October 2018,Atlas V,,04:15,Lockheed Martin Space,14 years,,,,Cape Canaveral Air Force Station,United States Air Force,,Successfully deployed,,"8,914 km","35,300 km",,,12.8°,"6,168 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military communications,,,,,,,,,,USA-288
"USA-289 (GPS-III SV01, Vespucci)",23 December 2018,Falcon 9,N/A,13:51:00,Lockheed Martin,N/A,"20,158 km (perigee), 20,222 km (apogee)",N/A,55 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-289
USA-291 (Wideband Global SATCOM 10),2019,,,,,,,,,Cape Canaveral Air Force Station,United States Air Force,,,,,,,,,Not specified,,Not specified,,,,,Not specified,"Multiple frequency bands, cross-banding ability",Not specified,,Solar arrays,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-291
USA-292 (Advanced Extremely High Frequency 5 or AEHF-5),8 August 2019,Atlas V 551,,,,,,,,Cape Canaveral Air Force Station,United States Air Force,,,,,,,,,"6,168 kg",,A2100,,,,,14 years,Super high frequency (SHF) and extremely high frequency (EHF),Not specified,,Solar arrays,,,,,,,,,,10:13 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-292
USA-293,22 August 2019,Delta IV Medium,"GPS-III SV02, Magellan",13:06:00,Lockheed Martin,,"20,157 km (perigee), 20,221 km (apogee)",,,Cape Canaveral Space Launch Complex 37,,,Operational (as of 2021),,,,,,,,,,,,,,,,,,,,,,,,"3,680 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navigation satellite,,,,,,,,,USA-293
USA-35,14 February 1989,Delta II,"Navstar 2-01, GPS II-1, GPS SVN-14",18:30:00,Rockwell International,7.5 years,"19,858 km (perigee), 20,270 km (apogee)",713.2 minutes,55.1°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-35
USA-38,10 June 1989,Delta II,"GPS II-2, GPS SVN-13",22:19:00,Rockwell International,7.5 years,Transfer orbit,717.92 minutes,54.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-38
USA-42,18 August 1989,Delta II,"GPS II-3, GPS SVN-16",05:57:59,Rockwell International,7.5 years,"20,113 km (perigee), 20,246 km (apogee)",717.86 minutes,54.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-42
USA-47,21 October 1989,Delta II,"GPS II-4, GPS SVN-19",09:31:01,Rockwell International,7.5 years,"20,081 km (perigee), 20,280 km (apogee)",717.9 minutes,54.7°,,,Global Positioning System (GPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-47
USA-49,11 December 1989,Delta II,"GPS II-5, GPS SVN-17",18:10:01,Rockwell International,7.5 years,"20,009 km (perigee), 20,357 km (apogee)",718.0 minutes,54.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-49
USA-5,8 September 1984,Atlas E,"Navstar 10, GPS I-10, GPS SVN-10",21:41:00,Rockwell Space Systems,5 years,"19,962 km (perigee), 20,403 km (apogee)",718.00 minutes,63.20°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-5
USA-50,24 January 1990,Delta II,"GPS II-6, GPS SVN-18",22:55:01,Rockwell International,7.5 years,"20,087 km (perigee), 20,275 km (apogee)",717.92 minutes,54.6°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decayed objects on 31 March 1990,-,Program cancelled in June 2007,,,,,,USA-53
USA-54,26 March 1990,Delta II,"GPS II-7, GPS SVN-20",02:45:01,Rockwell Space Systems,7.5 years,Medium Earth Orbit,Not specified,55.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-54
"USA-63 (GPS II-8, GPS SVN-21)",2 August 1990,Delta II,,05:39:00,Rockwell Space Systems,7.5 years,Medium Earth Orbit,,,Cape Canaveral Air Force Station,,"Navigation satellite, part of the Global Positioning System (GPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-63
USA-64,1 October 1990,Delta II,"GPS II-9, GPS SVN-15",21:56:00,Rockwell Space Systems,7.5 years,Medium Earth Orbit,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-64
USA-66,26 November 1990,Delta II,"GPS IIA-1, GPS II-10, GPS SVN-23",21:39:01,Rockwell Space Systems,7.5 years,Medium Earth Orbit,Information not provided,55.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-66
USA-71,4 July 1991,Delta II,"GPS IIA-2, GPS II-11, GPS SVN-24",02:32:00,Rockwell Space Systems,7.5 years,"19,451 km (perigee), 20,250 km (apogee)",704.60 minutes,55.30°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-71
USA-79,23 February 1992,Delta II,"GPS IIA-3, GPS II-12, GPS SVN-25",22:29:00,Rockwell Space Systems,7.5 years,"19,913 km (perigee), 20,318 km (apogee)",714.70 minutes,54.70°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-79
,24 January 1985,,,19:50:00,,,,,,,,Deployment of Department of Defense payload,,,,,,,,,,,,,,,,,,,,,STS-51-C,3 days,,,,,,,,,,,,,,,,"Kennedy Space Center, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space Shuttle Discovery,Challenger was substituted with Discovery,Magnum SIGINT satellite into geosynchronous orbit,Payload successfully launched and remains operational,,USA-8
USA-80,10 April 1992,Delta II,"GPS IIA-4, GPS II-13, GPS SVN-28",03:20:00,Rockwell Space Systems,7.5 years,"19,877 km (perigee), 20,390 km (apogee)",716.00 minutes,55.10°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-80
USA-83,7 July 1992,Delta II,"GPS IIA-5, GPS II-14, GPS SVN-26",09:20:01,Rockwell Space Systems,7.5 years,"19,959 km (perigee), 20,464 km (apogee)",717.92 minutes,55.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-83
USA-84,9 September 1992,Delta II,"GPS IIA-6, GPS II-15, GPS SVN-27",08:57:00,Rockwell Space Systems,7.5 years,"19,914 km (perigee), 20,335 km (apogee)",717.98 minutes,54.7°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-84
USA-85,22 November 1992,Delta II,"GPS IIA-7, GPS II-16, GPS SVN-32",23:54:00,Rockwell Space Systems,7.5 years,"20,074 km (perigee), 20,251 km (apogee)",717.96 minutes,54.8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-85
USA-87,18 December 1992,Delta II,"GPS IIA-8, GPS II-17, GPS SVN-29",22:16:00,Rockwell Space Systems,7.5 years,"20,137 km (perigee), 20,541 km (apogee)",720.00 minutes,54.74°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-87
USA-88,3 February 1993,Delta II,"GPS IIA-9, GPS II-18, GPS SVN-22",02:55:00,Rockwell Space Systems,7.5 years,"20,007 km (perigee), 20,341 km (apogee)",717.9 minutes,54.8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-88
USA-90,30 March 1993,Delta II,"GPS IIA-10, GPS II-19, GPS SVN-31",03:09:00,Rockwell Space Systems,7.5 years,"20,076 km (perigee), 20,287 km (apogee)",717.96 minutes,54.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-90
USA-91,13 May 1993,Delta II,"GPS IIA-11, GPS II-20, GPS SVN-37",00:07:00,Rockwell Space Systems,7.5 years,"20,033 km (perigee), 20,334 km (apogee), 717.88 minutes (period), 54.9° (inclination)",,,Cape Canaveral Air Force Station,,Navigation satellite,,7925-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Department of Defense,USA-91
USA-92,26 June 1993,Delta II,"GPS IIA-12, GPS II-21, GPS SVN-39, NAVSTAR 39",13:27:00,Rockwell Space Systems,7.5 years,"20,200 km (perigee), 20,200 km (apogee)",720.00 minutes,55.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-92
USA-94,30 August 1993,Delta II,"GPS IIA-13, GPS II-22, GPS SVN-35",12:38:00,Rockwell Space Systems,7.5 years,"20,074 km (perigee), 20,221 km (apogee)",716.0 minutes,54.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-94
USA-96,26 October 1993,Delta II,"GPS IIA-14, GPS II-23, GPS SVN-34",17:04:00,Rockwell Space Systems,7.5 years,,,,Cape Canaveral Air Force Station,,Navigation satellite for Global Positioning System,,7925-9.5,Not specified,Not specified,,,Not specified,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-96
,,,,,,,,,,,,,,,,,,,,,,,,-X wing payload deactivated,Replaced classified payload with ballast,Placed into lower orbit and damaged during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-99
