Event,Date,Location,Casualties,Victims Killed,Perpetrators,Related Context,Aftermath/Repercussions,Discovery Details,Condition of Bodies,Specific Findings,Perpetrator,Related Conflict,Survivors,Significance,trigger
Soweto uprising,"June 16, 1976","Soweto, South Africa",176-700 killed,"Students, protesters",South African police,"Protest against Afrikaans Medium Decree, police brutality, establishment of Youth Day","Public holiday in South Africa, remembrance of events, impact on education policy",,,,,,,,Soweto massacre
Srebrenica massacre,July 1995,"Srebrenica, Bosnia","8,000+","8,372 (identified)","Bosnian Serb Army, Scorpions","Genocidal killing of Bosniak Muslim men and boys, UN safe area failure","International recognition as genocide, victims buried at Memorial Centre of Potočari",,,,,,,,Srebrenica massacre
Saint James Church massacre,"July 25, 1993","Kenilworth, Cape Town, South Africa","11 killed, 58 wounded",11 congregation members,Azanian People's Liberation Army,"Attack during Sunday evening service, weapons used, impact on constitutional negotiation",Attackers granted amnesty by Truth and Reconciliation Commission,,,,,,,,St James Church massacre
Sukhumi massacre,"September 27, 1993","Sukhumi, Abkhazia",Not specified,Not specified,"Abkhaz separatists, North Caucasian allies","War in Abkhazia, ethnic cleansing campaign, ceasefire violation","Violent executions of Georgian civilians, part of ethnic cleansing campaign",,,,,,,,Sukhumi massacre
Sumpul River massacre,"May 13, 1980","Chalatenango, El Salvador",300-600 refugees,300-600 refugees,"Salvadoran Armed Forces, pro-government paramilitaries","Salvadoran Civil War, attack on refugees, denial of responsibility by El Salvador and Honduras","Violation of international law, United Nations Truth Commission report, establishment of OAS-monitored demilitarized zone",,,,,,,,Sumpul River massacre
Tadmor Prison massacre,"June 27, 1980","Tadmor Prison, Palmyra, Syria","Approximately 1,000","Approximately 1,000 prisoners",Defence Brigades (under Rifaat al-Assad),"Political and criminal detainees, massacre following failed assassination attempt","Closure of the prison in 2001, reopening in 2011, capture and destruction by ISIL in 2015",,,,,,,,Tadmor Prison massacre
Tantura massacre,"May 23, 1948","Tantura, near Haifa, Israel",200+ killed,Palestinian Arabs,Israeli Defense Force's Alexandroni Brigade,"Controversial massacre, conflicting accounts, legal actions, historical significance","Denial, legal dispute, conflicting testimonies, impact on historical narratives",,,,,,,,Tantura massacre
Siege of Tel al-Zaatar,January-August 1976,"Tel al-Zaatar, Beirut, Lebanon","At least 1,500","At least 1,500",Lebanese Front militias,"Lebanese Civil War, siege of Palestinian refugee camp, massacre of civilians","Massacre of at least 1,500 people, expulsion of Palestinians from northern Beirut",,,,,,,,Tel al-Zaatar massacre
Tiananmen Square protests,April-June 1989,"Beijing, China","Hundreds to thousands killed, thousands wounded",Not specified,People's Liberation Army (China),"Student-led pro-democracy movement, death of Hu Yaobang, economic and social changes in China","Suppression of protests, declaration of martial law, deepening political divisions",,,,,,,,Tiananmen Square protests of 1989
Tlatelolco massacre,"October 2, 1968","Tlatelolco, Mexico City",Disputed (estimates range from 300 to 400),Not specified,Mexican Armed Forces,"Protest against 1968 Summer Olympics, Mexican Dirty War, government repression","Arrest of 1,345 people, part of Mexican Dirty War, impact on political and social opposition",,,,,,,,Tlatelolco massacre
Tochni massacre,"August 14, 1974","Tochni, Larnaca, Cyprus",84 killed,84 Turkish Cypriots,EOKA B (Greek Cypriots),"Turkish invasion of Cyprus, EOKA B extremist actions, massacre of Turkish Cypriots","Apology by Cyprus government, acknowledgment of the massacre, part of broader conflict",,,,,,,,Tochni massacre
Tula massacre,"January 14, 1982","Atotonilco de Tula, Hidalgo, Mexico",13 killed,13 Colombian men,"Arturo Durazo Moreno, Mexico City Police","Alleged involvement of police chief, signs of torture and mutilation","Minor political scandal, no convictions related to the crime",,,,,,,,Tula massacre
University of Texas at Austin tower shooting,"August 1, 1966","University of Texas at Austin, Texas","16 killed, 31 injured",16 (including an unborn child),Charles Whitman,"Deadliest mass shooting in the U.S. at the time, Whitman's violent impulses, tumor found in autopsy","Impact on gun control laws, psychological evaluation of perpetrators",,,,,,,,University of Texas massacre
Ethnic violence in South Sudan,Ongoing,South Sudan,"5,000+ killed since 2011",Not specified,Various ethnic groups involved in cattle raids,"Historical conflict among 64 tribes, cattle raiding, land disputes, abduction of children, prevalence of high-powered weapons",,,,,,,,,Uror massacre
2011 Norway attacks,"July 22, 2011","Oslo and Utøya, Norway",77 killed,77,Anders Behring Breivik,"Domestic terrorist attacks, car bomb explosion, summer camp shooting","Gjørv Report findings, arrest and trial of Breivik",,,,,,,,Ut酶ya massacre
Villas de Salvárcar massacre,"January 31, 2010","Villas de Salvárcar, Ciudad Juárez, Mexico",16 killed,16 young people,La Línea hitmen,"Social problems in Ciudad Juárez, outrage in Mexico, government response","Program ""Todos Somos Juárez,"" additional measures against drug cartels, rejuvenation efforts",,,,,,,,Villas de Salv谩rcar massacre
Virginia Tech shooting,"April 16, 2007","Blacksburg, Virginia, United States","32 killed, 17 wounded",32,Seung-Hui Cho,"Spree shooting on campus, deadliest modern U.S. mass shooting, international media coverage","Debate on gun violence, gun laws, mental health treatment, privacy laws, journalism ethics",,,,,,,,Virginia Tech massacre
Vukovar massacre,"November 20, 1991","Ovčara farm near Vukovar, Croatia",Not specified,Not specified,"Serb paramilitaries, Yugoslav People's Army","Croatian War of Independence, largest massacre, negotiation for evacuation","Discovery of mass grave, exhumation of remains by ICTY investigators",,,,,,,,Vukovar massacre
Waco siege,February-April 1993,"Waco, Texas, United States",82 deaths,"76 Branch Davidians, including 25 children and David Koresh","U.S. federal government, Texas state law enforcement, U.S. military","ATF search warrant, FBI siege, disputed fire origin","Controversy over fire cause, internal investigations, deaths of Branch Davidians",,,,,,,,Waco siege
Wagalla massacre,"February 10, 1984","Wajir County, Kenya","Approximately 5,000",Not specified,"Kenyan Army, Somali clans","Human rights violation, ethnic Somalis targeted, government denial","Acknowledgment of wrongdoing, formation of Truth, Justice, and Reconciliation Commission",,,,,,,,Wagalla massacre
Wah Mee massacre,"February 18-19, 1983","Seattle, Washington",14 killed,13,"Kwan Fai ""Willie"" Mak, Wai Chiu ""Tony"" Ng, Keung Kin ""Benjamin"" Ng",,,,,,,,Wai Chin,Deadliest mass murder in Washington state history,Wah Mee massacre
Wehda Street airstrikes,"May 16, 2021","Al-Wehda Street, Gaza City, Palestine","44 killed, 50 injured",44 Palestinian civilians,Israeli forces,"Deadliest operation in 11-day conflict, bombing of densely populated area","International outrage, displacement of thousands, allegations of war crimes",,,,,,,,Wehda Street airstrikes
Zhanaozen massacre,"December 16-17, 2011","Zhanaozen, Kazakhstan",At least 14,14 protestors,Police,"Protests, strikes for workers' rights, clashes with police, human rights record","Unrest in other towns, criticism of government, impact on human rights situation",,,,,,,,Zhanaozen massacre
École Polytechnique massacre,"December 6, 1989","Montreal, Quebec, Canada","14 killed, 14 injured",14 women,Marc Lépine,"Antifeminist mass shooting, gun control debate, National Day of Remembrance and Action on Violence Against Women","Stricter gun control laws, increased action against violence towards women, changes in emergency services protocols",,,,,,,,脡cole Polytechnique massacre
