Victim,Date of Abduction,Location,Outcome,Perpetrator,Duration of Captivity,Suspects/Individuals Involved,Ransom Demand,Charges,Sentencing,Michelle Knight,Amanda Berry,"Georgina ""Gina"" DeJesus",Trial Details,Verdict,Additional Individuals Involved,Nationality,Occupation,Legislative Response,Age,Victims,Locations,Duration of Killing Spree,Law Enforcement Agencies Involved,Confession,Conviction,Parole Release,Reopening of Murder Cases,Witnesses,Method of Escape,Recognition Received,Individuals Involved,Criminal,Accomplices/Individuals Involved,Suspect Age,Legal Proceedings,Additional Information,Possible Spellings,Meaning based on Hanja,Notable Individuals,Newton County John Does (Adam),Newton County John Does (Brad),Lori Lee Farmer,Doris Denise Milner,Michele Heather Guse,Perpetrator(s),Other Individuals Involved,Jane Nartare Beaumont,Arnna Kathleen Beaumont,Grant Ellis Beaumont,trigger
St. Louis Jane Doe,"February 28, 1983","St. Louis, Missouri","Found murdered, estimated age between 8-11, believed to have been killed by strangulation, raped and decapitated, national attention due to brutality of crime",Unidentified,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis Jane Doe
Stanislav Volodymyrovych Aseyev,"June 2, 2017",Donetsk,"Sentenced to 15 years, released in a prison exchange on December 29, 2019",Pro-Russian militants from Donetsk People's Republic,962 days,Pro-Russian militants,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanislav Aseyev
Steven Gregory Stayner,"December 4, 1972","Merced, California","Abducted at age 7 by Kenneth Parnell, held captive for 7 years, escaped at age 14 with another victim, died in a motorcycle accident in 1989",Kenneth Parnell,7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Stayner
"Susan ""Suzy"" Poupart","May 20, 1990","Lac du Flambeau, Wisconsin","Found murdered six months after disappearance, case remains unsolved",Unidentified,N/A,"Two men last seen with her, man questioned in 2007",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susan Poupart
Suzanne Marie Collins,"July 11, 1985","Naval Support Activity Mid-South, Tennessee","Abducted while jogging, tortured, raped, and murdered, perpetrator identified and apprehended",Sedley Alley,N/A,"Sedley Alley, witnesses",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suzanne Marie Collins
Michael Anthony Hughes,1989,"Choctaw, Oklahoma","Abducted from elementary school, claimed to be Floyd's son, later discovered to be kidnapped",Franklin Delano Floyd,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suzanne Marie Sevakis
Tammy Lynn Leppert,"July 6, 1983","Cocoa Beach, FL","Went missing under mysterious circumstances at the age of 18, last seen in Cocoa Beach, FL",Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tammy Lynn Leppert
Tanya Nicole Kach-McCrum,February 1996,"McKeesport, Pennsylvania","Held captive by school security guard for 10 years, perpetrator sentenced to 15 years in prison",Thomas Hose,10 years,Thomas Hose,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanya Nicole Kach
Tara Leigh Calico,"September 20, 1988","Belen, New Mexico","Disappeared during a bike ride, believed to have been kidnapped, Polaroid photo controversy",Unidentified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tara Calico
Taylor Marie Behl,"September 5, 2005","Richmond, Virginia","Found deceased in Mathews County, Virginia after disappearing from VCU Campus",Benjamin Fawley,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylor Behl
Terence Hardy Waite CBE,1987-1991,Lebanon,"Held captive while trying to secure the release of hostages, released in 1991",Unidentified,4 years,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terry Waite
Thabang Sampson Makwetla MP,N/A,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thabang Makwetla
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suspected abduction and murder,Suspected abduction and murder,Suspected abduction and murder,The Beaumont Children
Thomas Niedermayer,"December 27, 1973",West Belfast,"Found dead with severe head injuries in a shallow grave, Eugene McManus and John Bradley charged",Provisional IRA,N/A,"Eugene McManus, John Bradley",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Niedermayer
Tina Marie Harmon,"October 29, 1981","Lodi, Ohio","Abducted, raped, and murdered, perpetrator identified through DNA evidence",Robert Anthony Buell,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tina Harmon
Umar Cheema,"September 4, 2010",Pakistan,"Abducted, beaten, flogged, sexually assaulted, head, eyebrows, and mustache shaved off","Group of assailants, possibly ISI agents",N/A,"Group of assailants, possibly ISI agents",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umar Cheema
Ursula Herrmann,"September 15, 1981",Federal Republic of Germany,"Found dead after being held captive, perpetrator not identified",Unidentified,N/A,Werner Mazurek,DM 2 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursula Herrmann
Hilda Victoria Montenegro,"February 13, 1976","Hurlingam, Buenos Aires Province","Illegally appropriated as a baby, raised under false name, discovered true identity in 2000",Military,N/A,"Roque Orlando Montenegro, Hilda Ramona Argentina Torres, Herman Antonio Tetzlaff, María del Carmen Eduartes",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria Montenegro
Walter Kwok,"September 30, 1997",,"Kidnapped by Cheung Tze-keung, also known as ""Big Spender,"" released after 7 days",Cheung Tze-keung,7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Kwok
Zarema Sadulayeva,"August 9, 2009",Chechnya,"Found shot to death in the trunk of a car in Chernorechye, a suburb of Grozny on August 10, 2009",Gunmen,,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zarema Sadulayeva
Zephany Nurse,"April 30, 1997","Groote Schuur Hospital, Cape Town, South Africa","Reunited with biological parents 17 years later, taken from hospital at 2 days old",Unidentified,N/A,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zephany Nurse
Ingrid Betancourt Pulecio,"February 23, 2002",Colombia,"Rescued by Colombian security forces on July 2, 2008 after being held captive for 6.5 years",Revolutionary Armed Forces of Colombia,6.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脥ngrid Betancourt
