Location,Bridge Name,Reason for Collapse,Date of Collapse,Number of Fatalities,Construction Period,Notable Incident,Designer,Notable Incidents,Historical Significance,Historical Background,Replacement Process,Purpose,Opening Date,Companies Involved,Legal Actions Taken,Length,Notable Features,Investigation Findings,Number of Lanes,Renovation Details,Designers,Individuals Involved,Oldest Arch Bridge,Ancient Timber Bridges,Collapse Date,Replacement Bridge,Total Length,Construction Details,Type of Bridge,Reason for Closure,Significance,Inauguration Date,Span Length,Population,Current Status,Casualties,Construction Cost,Previous Bridge,Reconstruction,Main Span Length,Purpose of the Bridge,Funding Allocation,Ramp Openings,Construction Year,Type of Construction,Historic Designation,Reason for Destruction,Initial Bridge Construction,Neolithic Bridge Designs,Etymology of the Word,Simplest Bridge Types,Oldest Timber Bridge,Roman Empire's Contribution,Town Name,Landmarks,Historical Residents,Notable Associations,Main Roadway,Managing Authority,Width,Clearance,Construction Start Date,Delay Reason,Supervising Consultant,Contractors,Funding Sources,Insurance Coverage,Construction Contracts,Specific Incident,Renaming,Notable Consultants,Design Influence,Design Features,Number of Injuries,Vehicles Crushed,Entities Involved,Design Error,Construction Material,Height of Towers,Clearance to Water,Construction Companies,Proposed Second Bridge,Design Type,Length of Central Section,Number of Spans,Height of Inclined Pylon,Coordinates,Reason for Previous Failure,Construction History,Previous Bridges,Reason for Replacement,Opening Dates,Closure of Old Spans,Approaches Completion Date,Original Twin Span Opening,Original Twin Span Details,Debris Utilization,Official Naming Ceremony,Owner,Toll Amount,Unique Features,Date of Fire Incident,Reason for Fire Incident,Height,Restoration Details,Construction Company,Original Bridge Details,Original Bridge Length,Original Construction Period,Length of the Bridge,Original Opening Date,Renaming Date,Closure Date of Original Bridge,Opening Date of Current Bridge,Cost,Tolls,Length of Longer Bridge,Southern Terminus,Northern Terminus,Guinness World Records,Number of Concrete Pilings,Features,Design,Maximum Authorized Speed,Official Name,Borough Name,Establishment Year,Incorporation Date,Incorporation Details,Native American History,Origin of Name,Date of Capture,Capturing Forces,Reason for Capture,Post-War Status,Freeways Involved,Reason for 1897 Collapse,Impact of Collapse,Subsequent Improvements,Replacement Span Name,Replacement Date,Player Name,Current Club,Previous Club,Debut Date,Contract Renewal Date,Loan Cancellation Date,Release Date,Nationality,Descent,Closure Date,Construction Purpose,Distance from Juba,Distance from Gulu,Population Estimate,Recent Developments,Bridge Type,Definition,Importance,Sustainability,Types,Highway Name,Scenic Designation,Responsible Parties,Ongoing Construction,Date of Collapses,Length of Bridge,Earliest Bridge Designs,Origin of the Word Bridge,Roman Empire Bridge,Initial Construction,Neolithic Innovations,"Etymology of ""Bridge""",Evolution of Bridge Design,Roman Empire Contribution,Key Information,Value,Construction Date,Responsible Party,Reconstruction Efforts,Clearance for Public Use,Closure Period,Repair and Reopening,Additional Details,Subsequent Actions,Toll Information,Popular Activities,Restrictions,Water Depth,Wedding Availability,Ceremonies,Original Bridge,Nickname,Impact on the Town,Height Above Water,Daily Traffic Volume,Tower Heights,Weight Limits,Detailed Analysis,Meaning of Name,Notable Events,Architect,Notable Details,trigger
"Ottawa River, connecting Gatineau, Quebec, and Ottawa, Ontario",Portage Bridge,,,,"Built in 1973, expanded in 1988, ongoing construction work since 2019",,,Not mentioned in the provided text,,,,Connects Laurier Street and Alexandre-Taché Boulevard to Wellington Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Improving safety of bidirectional cycle track, adjusting motor vehicle lanes, repairs to drains and expansion joints, asphalt surface repairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portage Bridge
"Sainte-Foy and Lévis, Quebec, Canada",Quebec Bridge,"Failed twice during construction, cost of 88 lives and injuries",,88 lives lost,"Over 30 years, opened in 1919",,Not specified,,"Longest cantilever bridge span in the world, National Historic Site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907 and 1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quebec Bridge
"Southern Cameron County, Texas, United States",Queen Isabella Memorial Bridge,,,,"Opened in 1974, replaced the previous bridge",,,"Cessna TR182 collision in 1996, barge crash in 2001",Named after Queen Isabella of Castile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37 miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queen Isabella Causeway
"St. Anna Bay, Willemstad, Curaçao, The Kingdom of The Netherlands",Koningin Julianabrug,Eastern part of the bridge collapsed during construction,1967 (specific date needed),15 fatalities,Not specified,Replacement of the collapsed eastern part of the bridge,,,,,"The current bridge opened on Queen's Day, 30 April 1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queen Juliana Bridge
,,,,,,,,,,,,,,,,,,,,,,,Arkadiko Bridge,"Log bridges, intentionally felled trees, Holzbrücke Rapperswil-Hurden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fallen trees and stepping stones, boardwalk bridges across marshland",Traced back to Proto-Indo-European *bʰrēw-,6-metre-wide wooden bridge built in the late 2nd century AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rail bridge
,,,,,,,,,,,,,,,,,,,,,,,Arkadiko Bridge is one of the oldest arch bridges still in existence,Holzbrücke Rapperswil-Hurden in Switzerland dates back to 1523 BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fallen trees and stepping stones used for early bridges,Neolithic people built boardwalk bridges across marshland,"Origin traced to Old English word ""brycg"" from Proto-Indo-European","Simplest types were stepping stones, log bridges, and felled trees",Built a 6-metre-wide wooden bridge in the late 2nd century AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Railway bridge
"Vienna, Austria",Reichsbrücke,,,,1934-1937,,,"Renovation between 1948-1952, survived World War II without damage",,,No replacement mentioned,,10 October 1937,,,,,,,,"Siegfried Theiß, Hans Jaksch, Clemens Holzmeister",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reichsbr眉cke
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historical Background,"Bridges were initially made with fallen trees and stepping stones. The Neolithic people built boardwalk bridges across marshland. The Arkadiko Bridge is one of the oldest arch bridges still in existence. The Oxford English Dictionary traces the origin of the word bridge to an Old English word brycg. The word can be traced back to Proto-Indo-European *bʰrēw-. The simplest and earliest types of bridges were stepping stones. Neolithic people also built a form of boardwalk across marshes. Undoubtedly, ancient people would have used log bridges, timber bridges that fall naturally or are intentionally felled or placed across streams. Some of the first man-made bridges with significant span were probably intentionally felled trees. Among the oldest timber bridges is the Holzbrücke Rapperswil-Hurden crossing upper Lake Zürich in Switzerland. The prehistoric timber piles discovered to the west of the Seedamm date back to 1523 BC. The first wooden footbridge led across Lake Zürich, followed by several reconstructions at least until the late 2nd century AD when the Roman Empire built a 6-metre-wide wooden bridge.",,,,,,,,,,,,,,,,,,,,,,,,,,,Road bridge
"San Francisco Bay, California, United States",San Francisco–Oakland Bay Bridge,Partial collapse during the 1989 Loma Prieta earthquake,1989 (specific date needed),Not mentioned in the provided text,"1933-1936 (for the original bridge), ongoing maintenance and repairs",Partial collapse during the 1989 Loma Prieta earthquake,Charles H. Purcell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco–Oakland Bay Bridge
"San Francisco Bay, California, United States",San Francisco–Oakland Bay Bridge,Partial collapse during the 1989 Loma Prieta earthquake,1989 (specific date needed),Not mentioned in the provided text,"1933-1936 (for the original bridge), ongoing maintenance and repairs",Partial collapse during the 1989 Loma Prieta earthquake,Charles H. Purcell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco聽鈥_Oakland Bay Bridge
"Kramfors Municipality, northern Sweden",Sandö Bridge,"Collapse during construction, 18 workers killed",31 August 1939,18 fatalities,Not specified,,,,,,Replaced by the Höga Kusten Bridge in 1997,,,,,,,,,"Renovated after 1997, reopened in 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sand枚 Bridge
"Han River, Seoul, South Korea",Seongsu Bridge,Failure of supporting truss due to a faulty weld,"October 21, 1994","32 fatalities, 17 injuries",Completed in 1979,,,,,,"Dismantled and replaced, new design finished on August 15, 1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seongsu Bridge
"River Severn, between Sharpness and Lydney, Gloucestershire, England",Severn Railway Bridge,"Collisions with vessels due to strong tides, collapse of spans",,Not specified,1870s,,Hamilston's Windsor Ironworks Company Limited,Collisions with river barges causing span collapses,"Furthest-downstream bridge over the Severn until 1966, demolished between 1967 and 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severn Railway Bridge
"Latchford, Ontario, Canada",Sgt. Aubrey Cosens VC Memorial Bridge,Partial failure due to torn rivets on support cables in January 2003,,,,"Closure of the highway, no casualties reported",,,"Renamed in 1986 in honour of Aubrey Cosens, a Victoria Cross recipient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 1960,,,,,,,,,,,,,,,,,,,,,,,,,,Sgt. Aubrey Cosens VC Memorial Bridge
"Brunswick, Georgia, United States",Sidney Lanier Bridge,,,,"Opened on June 22, 1956",,Sverdrup & Parcel,"Struck by the ship African Neptune in 1972, struck by the Polish freighter Ziemia Bialostocka in 1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Lanier Bridge
"Nzoia River, Budalangi, Busia, Kenya",Sigiri Bridge,Mid-span section collapse during construction,26 June 2017,,,,,,,,,,,,,,,,,,,,,,,,,"Three spans, supported by two abutments and two piers",Multi-span deck-type plate girder bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COVEC (contractor),Kenyan Government launched reconstruction works,31 August 2018,,,,,,,,,,,,,,,,,,,,,,,Sigiri Bridge
"Ohio River, connecting Point Pleasant, West Virginia, and Gallipolis, Ohio",Silver Bridge,"Failure of a single eyebar in a suspension chain due to a small defect, bridge carrying heavier loads than designed for, poor maintenance","December 15, 1967",46 fatalities,,,,,,"Built in 1928, named for the color of its aluminum paint, part of U.S. Route 35",Silver Memorial Bridge completed in 1969,,,,,,"Eyebar-chain suspension bridge, collapse during rush-hour traffic, 2 victims never found",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Bridge
"Holmestrand municipality, Vestfold og Telemark county, Norway",Skjeggestad Bridge,Partial collapse caused by a landslide in quick clay around a support pillar,2 February 2015,"No fatalities, no injuries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Both bridges closed after collapse, southbound lane fully destroyed and northbound lane repaired","Northbound lane reopened on 26 June 2015, southbound lane fully operational on 4 July 2016","Southbound lane partially reopened on 1 July 2016, controlled explosive demolitions on 21 February and 25 March 2015","Article on the bridge is a stub, potential for expansion on Wikipedia",,,,,,,,,,,,,,,,,,,Skjeggestad Bridge
"Lower Tampa Bay, connecting St. Petersburg, Florida to Terra Ceia",Bob Graham Sunshine Skyway Bridge,,,,,,,"Collision of USCGC Blackthorn with tanker Capricorn, MV Summit Venture collision",,"Original bridge opened in 1954, site of two major maritime disasters in 1980",,"Gateway to Tampa Bay, carries Interstate 275 and U.S. Route 19",1987,,,,,,,,"Figg & Muller Engineering Group, American Bridge Company","J.G. ""Jim"" Foley, Charles R. Carter, James E. Bussey",,,,,,,,,,,,,,,,Original bridge converted into a fishing pier after the 1980 incidents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1.50 toll for two-axle vehicles, collected via cash or SunPass",,,,,,,,,,,,,,,,,,Sunshine Skyway Bridge
"Yosemite Valley, California, United States",Swinging Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swimming, excellent view of Yosemite Falls",Visitors not allowed to jump off the bridge,"Mostly shallow water, some areas 6 to 12 feet deep",Area northeast of the bridge for weddings of 20 people or less,Not allowed on the bridge,,,,,,,,,,,,,Swinging Bridge
"Tacoma Narrows strait, Puget Sound, Pierce County, Washington",Tacoma Narrows Bridge,Aeroelastic flutter during high winds,,,,,,,,,"Construction began in 2002, new bridge opened in 2007",,,,,,,,,,,,,,,"Opened in 1950, still stands as westbound lanes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Opened in July 1940, collapsed in November 1940",Galloping Gertie,,,,,,,,,,,Tacoma Narrows Bridge
"Tadcaster, North Yorkshire, England",Tadcaster Bridge,Partial collapse due to flooding following Storm Eva,29 December 2015,,,,,,,"Built around 1700, with an earlier bridge dating back to around 1200, widened in the 19th century, listed at Grade II in 1985",,,,,,,,,,Bridge reopened on 3 February 2017 after a 13-month repair costing £4.4 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evacuation of residents, closure led to traffic detours, temporary pedestrian footbridge provided",,,,,,,,,,Tadcaster Bridge
"Hobart, Tasmania, Australia",Tasman Bridge,Struck by the bulk ore carrier Lake Illawarra during transit,5 January 1975,"7 crew members of the ship, 5 motorists",May 1960 - 18 March 1965,"Collapse caused by the ship collision, resulting in fatalities",Reed & Mallik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasman Bridge
"Firth of Tay, Scotland",Tay Bridge,Insufficient engineering to cope with high winds,28 December 1879,Not specified in the provided text,"1870-1878 (for the first bridge), 1883-1887 (for the second bridge)",Collapse of the first bridge in high winds,Thomas Bouch,,,,,,,,,,,,,Strengthened and refurbished in 2003,,,,,,,,,,,,,2.75 miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tay Rail Bridge
"Girish Park neighborhood, Kolkata, India",Vivekananda Road flyover,Steel span collapse during construction,31 March 2016,"27 fatalities, 50 injuries","Contracted in 2008, began in 2009, scheduled for completion in 2010",,,"Concrete laid one day before collapse, cracking noise heard before collapse",,,,,,IVRCL (construction firm based in Hyderabad),IVRCL charged with murder under section 302 of the Indian Penal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivekananda Flyover Bridge
"Conococheague Creek, United States",Conococheague Creek Aqueduct,Wall collapse due to a boat collision,Not specified,None,,"Boat hitting the wall, captain jumping off before collapse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water bridge
"Melbourne, Victoria, Australia",West Gate Bridge,,,,,,,,"Vital link between Melbourne's inner city and western suburbs, one of the busiest road corridors in Australia",,,,,,,,,,10 lanes (5 in each direction),,,,,,,,"2,582.6 meters",,,,,,,,,,,,,336 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58 meters,"180,000–200,000 vehicles per day",,,,,,,,West Gate Bridge
"Manhattan, New York City, United States",West Side Elevated Highway,,,,1929-1951,,,Truck and car falling through at 14th Street in 1973,,,"Dismantled, underground interstate-quality highway plan (Westway) scuttled in 1985",,,,,,,,,,,,,,,,,,,"Obsolete design, lack of maintenance, decay, falling facade, accidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Side Elevated Highway
"Wheeling, West Virginia, United States",Wheeling Suspension Bridge,,,,,,Charles Ellet Jr.,Litigation in the U.S. Supreme Court regarding obstruction of steamboat smokestacks,"Largest suspension bridge in the world from 1849 to 1851, National Historic Landmark designation in 1975",,,,,,,,"First bridge to span a major river west of the Appalachian mountains, strategically important during the American Civil War",,,,,,,,,,,,,,,,,,,,,,,"1,010 feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"East tower: 153.5 feet above low-water level, West tower: 132.75 feet above low water","2-ton weight limits for vehicles, closure to automobile traffic in September 2019",Conducted by Dr. Emory Kemp,,,,,Wheeling Suspension Bridge
"Isle of Wight, United Kingdom",Wootton Bridge,,,,,,,,,"First recorded around 1086, evolved name, construction of the bridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Possibly ""Woodtown"", clearing in a forest",1969 Isle of Wight Festival took place at Woodside Bay in Wootton,,,Wootton Bridge
"Great Yarmouth, Norfolk, United Kingdom",Yarmouth Suspension Bridge,"Collapse under load from a crowd watching a circus stunt, design and workmanship faults",2 May 1845,79 fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph John Scoles,"Widened in 1832, site marked by a modern-day memorial, act of parliament passed in 1827 for construction",Yarmouth suspension bridge
"Yekaterinburg, Russia",Yekaterinburg Bridge,"Design mistake, violation of city-building codex","September 6, 2006",Not mentioned in the provided text,Not specified,Collapse of automobile bridge near the city center,,,,,,,,,Responsibility placed on Viktor Menshikov for violating city-building codex,,,,,,,"Shevket Shaidullin, Arkady Mikhailovich Chernetsky, Viktor Menshikov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yekaterinburg bridge collapse
