Aircraft,Event,Date,Location,Casualties,Cause of Crash,Registration,Route,Engine,Passenger Capacity,Design Features,Intended Market,Establishment of Georgian Air Force,First Combat Flight,Abolishment of Georgian Air Force,Re-establishment of Georgian Air Force,Modernization Efforts under Irakli Garibashvili,Establishment Date,Current Rank,Primary Mission,Wars with Pakistan,Major Operations,UN Peacekeeping Missions,Personnel Count (July 2017),Role of President,Chief of the Air Staff,Highest Rank Held,Possible Causes of Crash,trigger
Douglas DC-8,Loftleiðir Icelandic Airlines Flight 001,"November 15, 1978","Colombo, Sri Lanka","183 fatalities, 79 survivors","Crew error, failure to conform to approach procedures",TF-FLA,Jeddah to Surabaya via Colombo,,,,,,,,,,,,,,,,,,,,,Icelandic Airlines Flight 001
Boeing 707,Independent Air Flight 1851,"February 8, 1989","Santa Maria, Azores, Portugal",144 fatalities,"Struck Pico Alto during approach, deadliest plane crash in Portugal's history",Unknown,"Bergamo, Italy to Punta Cana, Dominican Republic via Santa Maria, Azores, Portugal",,,,,,,,,,,,,,,,,,,,,Independent Air Flight 1851
Antonov An-12,Antonov An-12 Crash,Date Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,Indian Air Force Flight 203
,,,,,,,,,,,,,,,,,"October 8, 1932",Third,"Secure Indian airspace, conduct aerial warfare",Four wars,"Operation Vijay, Operation Meghdoot, Operation Cactus, Operation Poomalai",Yes,"1,39,576",Supreme Commander,Air Chief Marshal,Marshal of the Air Force,,Indian Air Force
Boeing 737-200,Indian Airlines Flight 113,"October 19, 1988","Ahmedabad, India",133 fatalities,"Pilot error, improper approach and landing procedures",VT-EAH,Mumbai to Ahmedabad,,,,,,,,,,,,,,,,,,,,,Indian Airlines Flight 113
Sud Aviation Caravelle,Indian Airlines Flight 171,"October 12, 1976","Bombay, India",95 fatalities,"Uncontained engine failure, resulting in fire and loss of control",Unknown,Bombay to Madras,,,,,,,,,,,,,,,,,,,,,Indian Airlines Flight 171
Boeing 737-2A8,Indian Airlines Flight 257,"August 16, 1991","Thangjing Hill, India","63 passengers, 6 crew","Pilot error, non-adherence to approach procedure, reliance on terrain familiarity",VT-EFL,Calcutta to Imphal to Dimapur,,,,,,,,,,,,,,,,,,,,,Indian Airlines Flight 257
Boeing 737-2A8,Indian Airlines Flight 491,"April 26, 1993","Aurangabad, India","55 fatalities, 63 injuries","Captain's false perception on take-off technique, impact with lorry and power line",VT-ECQ,Aurangabad to Bombay via multiple cities in Rajashtan and Maharashtra,,,,,,,,,,,,,,,,,,,,,Indian Airlines Flight 491
Airbus A320-231,Indian Airlines Flight 605,"February 14, 1990","Bangalore, India",92 fatalities,"Pilot error, incorrect control mode selection, delayed reaction during descent",VT-EPN,Bombay to Bangalore,,,,,,,,,,,,,,,,,,,,,Indian Airlines Flight 605
Airbus A320,Indonesia AirAsia Flight 8501,"December 28, 2014",Java Sea,162 fatalities,"Rudder control system malfunction, non-standard reset, loss of control, stall, uncontrolled descent",PK-AXC,Surabaya to Singapore,,,,,,,,,,,,,,,,,,,,,Indonesia AirAsia Flight 8501
McDonnell Douglas MD-81,Inex-Adria Aviopromet Flight 1308,"December 1, 1981","Mont San-Pietro, Corsica",180 fatalities,"Crashed on Corsica's Mont San-Pietro, killing all 180 people on board",YU-ANA,Ljubljana to Ajaccio,,,,,,,,,,,,,,,,,,,,,Inex-Adria Aviopromet Flight 1308
McDonnell Douglas DC-9-32,Inex-Adria Aviopromet Flight 450,"October 30, 1975","Prague, Czechoslovakia",75 fatalities,"Descent below Minimum Descent Altitude, impact with rising terrain",YU-AJO,Tivat to Prague,,,,,,,,,,,,,,,,,,,,,Inex-Adria Aviopromet Flight 450
McDonnell Douglas DC-9-14,Intercontinental de Aviación Flight 256,"January 11, 1995","Cartagena, Colombia","50 fatalities, 1 survivor",Crashed during approach to Cartagena Airport,HK-3839X,Bogotá to Cartagena and San Andrés,,,,,,,,,,,,,,,,,,,,,Intercontinental de Aviaci贸n Flight 256
Vickers Vanguard 952,Invicta International Airlines Flight 435,"April 10, 1973","Hochwald, Switzerland","108 fatalities, 37 survivors","Pilot error, misidentification of radio beacons, disorientation",G-AXOP,Bristol to Basel-Mulhouse,,,,,,,,,,,,,,,,,,,,,Invicta International Airlines Flight 435
Boeing 727-286Adv,Iran Air Flight 277,"January 9, 2011","Near Urmia, Iran","78 fatalities, 27 survivors","Icing conditions, incorrect engine management, double engine flame-out",EP-IRP,Tehran to Urmia,,,,,,,,,,,,,,,,,,,,,Iran Air Flight 277
Boeing 727-86,Iran Air Flight 291,"January 21, 1980","Tehran, Iran",128 fatalities,Inoperable instrument landing system and ground radar,EP-IRD,Mashad to Tehran-Mehrabad,,,,,,,,,,,,,,,,,,,,,Iran Air Flight 291
Airbus A300,Iran Air Flight 655,"July 3, 1988","Persian Gulf, over Iranian territorial waters",290 fatalities,Shot down by USS Vincennes,Unknown,Tehran to Dubai via Bandar Abbas,,,,,,,,,,,,,,,,,,,,,Iran Air Flight 655
Tupolev Tu-154M,Iran Air Tours Flight 956,"February 12, 2002","230 miles south-west of Tehran, Iran","12 crew, 107 passengers",Impact with Kuh-e Sefid Mountain during non-precision approach,EP-MBS,,,,,,,,,,,,,,,,,,,,,,Iran Air Tours Flight 956
ATR 72-212,Iran Aseman Airlines Flight 3704,"February 18, 2018","Mount Dena, Zagros Mountains, Iran","60 passengers, 6 crew","Pilot error, descending below minimum altitude, stall, crash due to bad weather",EP-ATS,Tehran to Yasuj,,,,,,,,,,,,,,,,,,,,,Iran Aseman Airlines Flight 3704
Fokker F-28,Iran Aseman Airlines Flight 746,"October 12, 1994","Natanz, Iran","59 passengers, 7 crew","Contaminated fuel leading to engine failure, uncontrolled descent, crash into mountain",Unknown,Isfahan to Tehran,,,,,,,,,,,,,,,,,,,,,Iran Aseman Airlines Flight 746
N/A,Islamic Republic of Iran Air Force Formation,1979,Iran,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,Iranian Air Force
Boeing 737-270C,Iraqi Airways Flight 163,"December 25, 1986","Near Arar, Saudi Arabia","60 passengers, 3 crew","Hijacking leading to onboard explosions, emergency descent, crash, and fire",YI-AGJ,Baghdad to Amman,,,,,,,,,,,,,,,,,,,,,Iraqi Airways Flight 163
McDonnell Douglas DC-9,Itavia Flight 870,"June 27, 1980","Tyrrhenian Sea near Ustica, Italy",81 fatalities,Terrorist bomb explosion,I-TIGI,Bologna to Palermo,,,,,,,,,,,,,,,,,,,,,Itavia Flight 870
Boeing 747-146SR,Japan Air Lines Flight 123,"August 12, 1985","Mount Takamagahara, Gunma Prefecture","15 crew, 509 passengers","Faulty repair leading to rapid decompression, loss of hydraulic controls",JA8119,Tokyo Haneda to Osaka International,,,,,,,,,,,,,,,,,,,,,Japan Air Lines Flight 123
DC-8-62,Japan Air Lines Flight 446,"November 28, 1972",Sheremetyevo International Airport,"62 fatalities, 14 survivors","Stalling shortly after takeoff, possible accidental deployment of spoilers and reduced thrust due to engine problems",JA8040,"Sheremetyevo International Airport of Moscow, Russian SFSR, Soviet Union to Tokyo International Airport in Ōta, Tokyo, Japan",,,,,,,,,,,,,,,,,,,,,Japan Airlines Flight 446
Douglas DC-8-53,Japan Air Lines Flight 471,"June 14, 1972","New Delhi, India","82 occupants killed, 4 ground fatalities",Disputed - false glide path signal or pilot error,JA8012,Bangkok to New Delhi,,,,,,,,,,,,,,,,,,,,,Japan Airlines Flight 471
Boeing 737-200,Kam Air Flight 904,"February 3, 2005","Kabul, Afghanistan","96 passengers, 8 crew",Impact with mountainous terrain during snowstorm,Unknown,Herat to Kabul,,,,,,,,,,,,,,,,,,,,,Kam Air Flight 904
Airbus A310-304,Kenya Airways Flight 431,"January 30, 2000","Félix-Houphouët-Boigny International Airport, Abidjan","169 passengers, 10 survivors",Improper response to false stall warning,5Y-BEN,Abidjan–Lagos–Nairobi,,,,,,,,,,,,,,,,,,,,,Kenya Airways Flight 431
Boeing 737-800,Kenya Airways Flight 507,"May 5, 2007","Douala, Cameroon",All passengers and crew,Loss of control due to excessive bank after takeoff,5Y-KYA,Abidjan–Douala–Nairobi,,,,,,,,,,,,,,,,,,,,,Kenya Airways Flight 507
Tupolev Tu-154B-1,Khabarovsk United Air Group Flight 3949,"December 7, 1995","Khabarovsk, Russia",98 fatalities,"Steep downward spiral during automated flight, fuel imbalance, autopilot malfunction",RA-85563,Yuzhno-Sakhalinsk to Khabarovsk,,,,,,,,,,,,,,,,,,,,,Khabarovsk United Air Group Flight 3949
Lockheed Super Constellation,KLM Flight 607-E,"August 14, 1958","180km northwest of Shannon, Ireland","91 passengers, 8 crew, 6 Egyptian fencing team members","Malfunctioning over-speeding outboard propeller, catastrophic mechanical failure",PH-LKM,"Amsterdam to New York City via Shannon, Gander",,,,,,,,,,,,,,,,,,,,,KLM Flight 607E
Lockheed 1049E Super Constellation,KLM Flight 844,"July 16, 1957","Cenderawasih Bay, 1.2km from departure airport",58 out of 68 onboard perished,"Pilot error, technical failure",PH-LKT,Biak-Mokmer to Manila,,,,,,,,,,,,,,,,,,,,,KLM Flight 844
Boeing 747-300,Korean Air Flight 801,"August 6, 1997","Asan-Maina, Guam","229 fatalities, 25 survivors","Poor communication, captain's poor decision-making on approach",HL7468,Seoul to Guam,,,,,,,,,,,,,,,,,,,,,Korean Air Flight 801
McDonnell Douglas DC-10-30,Korean Air Flight 803,"July 27, 1989","Tripoli, Libya","75 passengers, 4 ground",Crashed during landing in heavy fog and low visibility,HL7328,"Seoul, South Korea to Tripoli, Libya via Bangkok, Thailand, Jeddah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,Korean Air Flight 803
Boeing 707-3B5C,Korean Air Flight 858,"November 29, 1987",Andaman Sea,"104 passengers, 11 crew",Bomb explosion in mid-air,HL7442,"Baghdad, Iraq to Seoul, South Korea",,,,,,,,,,,,,,,,,,,,,Korean Air Flight 858
Boeing 747,Korean Air Lines Flight 007,"September 1, 1983","Near Moneron Island, Sea of Japan",269 passengers and crew,Shot down by Soviet interceptor aircraft during navigational error,Unknown,"New York City to Seoul via Anchorage, Alaska",,,,,,,,,,,,,,,,,,,,,Korean Air Lines Flight 007
Avro RJ85,LaMia Flight 2933,"November 28, 2016","Near Medellín, Colombia","71 fatalities, 6 survivors","Fuel exhaustion, inappropriate flight plan, pilot error",CP-2933,"Santa Cruz de la Sierra, Bolivia to Medellín, Colombia",,,,,,,,,,,,,,,,,,,,,LaMia Airlines Flight 2933
Douglas DC-6B-404,LAN-Chile Flight 107,"February 6, 1965","Andes, Las Melosas",87 occupants,"Pilot error, deviating from approved flight plan",Unknown,Santiago to Buenos Aires,,,,,,,,,,,,,,,,,,,,,LAN Chile Flight 107
Lockheed L-188A Electra,LANSA Flight 502,"August 9, 1970","Near Cusco, Peru","8 crew, 92 passengers, 1 ground, 2 total","Improper execution of engine-out procedures, lack of maintenance, overloading",OB-R-939,Cusco to Lima,,,,,,,,,,,,,,,,,,,,,LANSA Flight 502
Lockheed L-188A Electra,LANSA Flight 508,"December 24, 1971","Near Pucallpa, Peru","6 crew, 85 passengers, 1 survivor",Intentional flight into hazardous weather conditions,OB-R-941,"Lima to Pucallpa, Peru",,,,,,,,,,,,,,,,,,,,,LANSA Flight 508
Boeing 737-204C,LAPA Flight 3142,"August 31, 1999","Aeroparque Jorge Newbery, Buenos Aires, Argentina","65 fatalities, 34 injuries","Failed takeoff, crashing on the ground",LV-WRZ,,,,,,,,,,,,,,,,,,,,,,LAPA Flight 3142
Boeing 767-300ER,Lauda Air Flight 004,"May 26, 1991","Near Bangkok, Thailand","213 passengers, 10 crew","Uncommanded thrust reverser deployment, uncontrolled dive, aircraft breakup",OE-LAV,Bangkok to Vienna,,,,,,,,,,,,,,,,,,,,,Lauda Air Flight 004
Boeing 727-200,Libyan Arab Airlines Flight 114,"February 21, 1973",Northern Egypt,"108 fatalities, 5 survivors",Shot down by Israeli fighter jets after flying off course into prohibited airspace,5A-DAH,Tripoli to Cairo via Benghazi,,,,,,,,,,,,,,,,,,,,,Libyan Arab Airlines Flight 114
Boeing 737 MAX,Lion Air Flight 610,"October 29, 2018",Java Sea,189 fatalities,"Flight control problems, sensor failures, design flaw in MCAS",PK-LQP,Jakarta to Pangkal Pinang,,,,,,,,,,,,,,,,,,,,,Lion Air Flight 610
Antonov An-24RV,Lionair Flight 602,"September 29, 1998",Off the north-western coast of Sri Lanka,"48 passengers, 7 crew",Shot down by Liberation Tigers of Tamil Eelam using a MANPADS,,,,,,,,,,,,,,,,,,,,,,,Lionair Flight 602
Ilyushin Il-62,LOT Polish Airlines Flight 007,"March 14, 1980","Near Okęcie Airport, Warsaw, Poland",87 crew and passengers,Engine failure due to turbine disc disintegration,Unknown,,,,,,,,,,,,,,,,,,,,,,LOT Polish Airlines Flight 007
Antonov An-24,LOT Polish Airlines Flight LO 165,"April 2, 1969","Krakow, Poland",53 fatalities,Crashed into mountain during snowstorm,SP-LTF,Warsaw to Krakow Balice,,,,,,,,,,,,,,,,,,,,,LOT Polish Airlines Flight 165
Ilyushin Il-62M,LOT Polish Airlines Flight 5055,"May 9, 1987","Kabaty Woods, Warsaw, Poland",183 passengers and crew,"Engine shaft disintegration due to faulty bearings, onboard fire, and subsequent loss of flight-control systems",SP-LBG,Warsaw to New York City,,,,,,,,,,,,,,,,,,,,,LOT Polish Airlines Flight 5055
Boeing 747-130,Lufthansa Flight 540,"November 20, 1974","Jomo Kenyatta International Airport, Nairobi","55 passengers, 4 crew",Stall caused by retracted leading edge slats,D-ABYB,Frankfurt–Nairobi–Johannesburg,,,,,,,,,,,,,,,,,,,,,Lufthansa Flight 540
Boeing 777-200ER,Malaysia Airlines Flight 17,"July 17, 2014","Hrabove, Donetsk Oblast, Ukraine","283 passengers, 15 crew",Shot down by a Buk surface-to-air missile launched from pro-Russian separatist-controlled territory in Ukraine,9M-MRD,Amsterdam to Kuala Lumpur,,,,,,,,,,,,,,,,,,,,,Malaysia Airlines Flight 17
Boeing 777-200ER,Malaysia Airlines Flight 370,"March 8, 2014","South China Sea, Andaman Sea, Indian Ocean","227 passengers, 12 crew","Disappearance, presumed crash in the southern Indian Ocean",9M-MRO,Kuala Lumpur to Beijing,,,,,,,,,,,,,,,,,,,,,Malaysia Airlines Flight 370
Boeing 737-200,Malaysian Airline System Flight 653,"December 4, 1977","Tanjung Kupang, Johor, Malaysia","93 passengers, 7 crew",Hijacking leading to fatal crash,9M-MBD,Penang to Kuala Lumpur,,,,,,,,,,,,,,,,,,,,,Malaysian Airline System Flight 653
Tupolev Tu-154,Malév Flight 240,"September 30, 1975",Off the coast of Lebanon,"50 passengers, 10 crew",Alleged shootdown,Unknown,Budapest to Beirut,,,,,,,,,,,,,,,,,,,,,Mal茅v Flight 240
Boeing 737-230 Adv,Mandala Airlines Flight 091,"September 5, 2005","Medan, Indonesia","149 fatalities, 49 ground casualties","Improper aircraft configuration for take-off, insufficient lift",PK-RIM,Medan to Jakarta,,,,,,,,,,,,,,,,,,,,,Mandala Airlines Flight 091
Vickers Viscount 816,Mandala Airlines Flight 660,"July 24, 1992","Ambon Island, Indonesia",Unknown,"Pilot error, windshear",PK-RVU,Unknown,,,,,,,,,,,,,,,,,,,,,Mandala Airlines Flight 660
Douglas DC-4,Maritime Central Airways Flight 315,"August 11, 1957","7.2 km west of Issoudun, Quebec",79 fatalities,"Severe turbulence, loss of control, near-vertical dive",Unknown,"London to Toronto with stops in Reykjavík and Goose Bay, Labrador",,,,,,,,,,,,,,,,,,,,,Maritime Central Airways Flight 315
McDonnell Douglas DC-10,Martinair Flight 495,"December 21, 1992","Faro Airport, Portugal","54 passengers, 2 crew died, 106 injured",Crash-landed in severe weather conditions,PH-MBN,,,,,,,,,,,,,,,,,,,,,,Martinair Flight 495
Vickers Viscount,Merpati Nusantara Airlines Flight,"November 10, 1971","Indian Ocean off the coast of Padang, Indonesia","62 passengers, 7 crew","Bad weather, poor visibility, crash into Indian Ocean",PK-MVS,Jakarta to Padang,,,,,,,,,,,,,,,,,,,,,Merpati Nusantara Airlines Viscount (PK-MVS)
Airbus A321-231,Metrojet Flight 9268,"October 31, 2015",Northern Sinai Peninsula,"224 passengers, 7 crew",Onboard explosive device,Unknown,Sharm El Sheikh to Pulkovo Airport,,,,,,,,,,,,,,,,,,,,,Metrojet Flight 9268
Boeing 727-64,Mexicana de Aviación Flight 704,"June 4, 1969","Near Salinas Victoria, Monterrey, Mexico",79 fatalities,"Controlled flight into terrain, crew error",XA-SEL,,,,,,,,,,,,,,,,,,,,,,Mexicana Flight 704
Boeing 727-200,Mexicana de Aviación Flight 940,"March 31, 1986","Sierra Madre Occidental, Mexico",167 fatalities,"In-flight explosion, crash into mountain",XA-MEM,Mexico City to Puerto Vallarta to Mazatlán to Los Angeles,,,,,,,,,,,,,,,,,,,,,Mexicana Flight 940
Boeing 720-023B,Middle East Airlines Flight 438,"January 1, 1976","Al Qaysumah, Saudi Arabia","15 crew, 66 passengers",Bomb explosion in cargo hold,OD-AFT,"Beirut, Lebanon to Muscat, Oman via Abu Dhabi",,,,,,,,,,,,,,,,,,,,,Middle East Airlines Flight 438
Douglas DC-8-61,Nigeria Airways Flight 2120,"July 11, 1991",King Abdulaziz International Airport,"247 passengers, 14 crew","Fire shortly after takeoff, crash during emergency landing",C-GMXQ,"Jeddah, Saudi Arabia to Sokoto, Nigeria",,,,,,,,,,,,,,,,,,,,,Nigeria Airways Flight 2120
Vickers VC10,Nigeria Airways Flight 825,"November 20, 1969","Lagos, Nigeria","76 passengers, 11 crew","Pilot error, altitude awareness issue, potential fatigue",Unknown,London to Lagos via Rome and Kano,,,,,,,,,,,,,,,,,,,,,Nigeria Airways Flight 825
McDonnell Douglas MD-82,Northwest Airlines Flight 255,"August 16, 1987","Detroit Metropolitan Airport, USA","154 fatalities, 2 ground","Pilot error, failure to set flaps and slats",N312RC,Detroit to Phoenix,,,,,,,,,,,,,,,,,,,,,Northwest Airlines Flight 255
Douglas DC-7C,Northwest Orient Airlines Flight 293,"June 3, 1963",Off the coast of Alaska,101 fatalities,"Undetermined, lack of evidence",N290,"McChord AFB to Elmendorf AFB, Alaska",,,,,,,,,,,,,,,,,,,,,Northwest Airlines Flight 293
DC-4,Northwest Orient Airlines Flight 2501,"June 23, 1950","Over Lake Michigan, 18 miles NNW of Benton Harbor, Michigan","55 passengers, 3 crew","Undetermined, disappearance over Lake Michigan",Unknown,New York City to Seattle,,,,,,,,,,,,,,,,,,,,,Northwest Orient Airlines Flight 2501
Lockheed L-188 Electra,Northwest Orient Flight 710,"March 17, 1960","Near Cannelton, Indiana","57 passengers, 6 crew",,,,,,,,,,,,,,,,,,,,,,,"Disintegration in-flight, crash, possible bomb, air turbulence, metal fatigue",Northwest Orient Airlines Flight 710
NAMC YS-11A,Olympic Airways Flight 830,"November 23, 1976","Near Servia, Greece",50 fatalities,Controlled flight into terrain due to bad weather and collision with mountain,SX-BBR,Athens to Kozani via Larisa,,,,,,,,,,,,,,,,,,,,,Olympic Airways Flight 830
Douglas DC-6B,Olympic Airways Flight 954,"December 8, 1969","Keratea, Greece","85 passengers, 5 crew","Deviation from proper track, descending below minimum safe altitude during ILS approach",Unknown,Chania to Athens,,,,,,,,,,,,,,,,,,,,,Olympic Airways Flight 954
McDonnell Douglas MD-82,One-Two-GO Airlines Flight 269,"September 16, 2007","Phuket International Airport, Thailand","90 fatalities, 40 survivors","Attempted go-around after aborted landing, deficient training and safety programs",HS-OMG,Bangkok to Phuket,,,,,,,,,,,,,,,,,,,,,One-Two-GO Airlines Flight 269
Airbus A300,Pakistan International Airlines Flight 268,"September 28, 1992",Kathmandu's Tribhuvan International Airport,167 fatalities,Crashed while approaching airport,AP-BCP,,,,,,,,,,,,,,,,,,,,,,Pakistan International Airlines Flight 268
Fokker F27 Friendship,Pakistan International Airlines Flight 404,"August 25, 1989","Himalaya Mountains, Pakistan",54 passengers and crew,"Presumed crash in the Himalayas, disappearance after takeoff",AP-BBF,Gilgit to Islamabad,,,,,,,,,,,,,,,,,,,,,Pakistan International Airlines Flight 404
Boeing 720,Pakistan International Airlines Flight 705,"May 20, 1965","Cairo International Airport, Egypt",115 fatalities,"Loss of adequate height during descent, unknown reason",AP-AMH,"Karachi, Pakistan to London, United Kingdom via Dhahran, Cairo, Geneva",,,,,,,,,,,,,,,,,,,,,Pakistan International Airlines Flight 705
Boeing 707-340C,Pakistan International Airlines Flight 740,"November 26, 1979","Jeddah, Saudi Arabia",156 fatalities,In-flight fire leading to emergency descent and crash,AP-AWZ,Kano to Karachi via Jeddah,,,,,,,,,,,,,,,,,,,,,Pakistan International Airlines Flight 740
Airbus A320,Pakistan International Airlines Flight 8303,"May 22, 2020","Model Colony, Karachi, Pakistan","97 fatalities, 2 survivors, 8 ground injuries","Landing gear issues, engine failure, go-around, crash into residential area",Unknown,Lahore to Karachi,,,,,,,,,,,,,,,,,,,,,Pakistan International Airlines Flight 8303
Fokker 100,Palair Macedonian Airlines Flight 301,"March 5, 1993","Skopje, Macedonia","79 passengers, 4 crew",Loss of roll controllability due to ice accumulation on wings,PH-KXL,Skopje to Zurich-Kloten Airport,,,,,,,,,,,,,,,,,,,,,Palair Macedonian Airlines Flight 301
Boeing 747-121,Pan Am Flight 103,"December 21, 1988","Lockerbie, Scotland","243 passengers, 16 crew, 11 residents","Bomb explosion, terrorist attack",N739PA,Frankfurt to Detroit via London and New York City,,,,,,,,,,,,,,,,,,,,,Pan Am Flight 103
Boeing 377 Stratocruiser,Pan American Flight 202,"April 29, 1952","281 nautical miles southwest of Carolina, Brazil",50 fatalities,Engine separation due to propeller blade failure,N1039V,"Rio de Janeiro, Brazil to Port of Spain, Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,Pan Am Flight 202
Boeing 707-121,Pan Am Flight 214,"December 8, 1963","Elkton, Maryland",81 fatalities,Lightning strike causing fuel tank explosion,N709PA,San Juan to Baltimore to Philadelphia,,,,,,,,,,,,,,,,,,,,,Pan Am Flight 214
Boeing 707-321B,Pan Am Flight 217,"December 12, 1968","Near Caracas, Venezuela",51 fatalities,"Pilot error, undetermined probable cause",Unknown,New York City to Caracas,,,,,,,,,,,,,,,,,,,,,Pan Am Flight 217
Douglas DC-4,Pan Am Flight 526A,"April 11, 1952",11.3 miles NW of San Juan Airport,"52 fatalities, 17 survivors","Engine failure, ditched in rough seas, inadequate maintenance",Unknown,San Juan to New York City,,,,,,,,,,,,,,,,,,,,,Pan Am Flight 526A
Boeing 727,Pan Am Flight 759,"July 9, 1982","Kenner, Louisiana","145 passengers, 8 ground fatalities","Microburst, forced down shortly after takeoff",N4737,"Miami to San Diego with stops in New Orleans, Las Vegas",,,,,,,,,,,,,,,,,,,,,Pan Am Flight 759
Boeing 707-321B,Pan Am Flight 806,"January 30, 1974",Pago Pago International Airport,"87 passengers, 10 crew","Microburst-induced wind shear, poor visibility, lack of altitude and airspeed callouts",N454PA,"Auckland to Los Angeles via Pago Pago, Honolulu",,,,,,,,,,,,,,,,,,,,,Pan Am Flight 806
Boeing 707-321B,Pan Am Flight 812,"April 22, 1974",42.5 nautical miles northwest of Ngurah Rai International Airport,107 fatalities,"Crashed into mountainous terrain during approach to Denpasar, Bali",N446PA,"Hong Kong to Los Angeles via Denpasar, Sydney, Nadi, Honolulu",,,,,,,,,,,,,,,,,,,,,Pan Am Flight 812
Boeing 707-321B,Pan Am Flight 816,"July 22, 1973","Faa'a International Airport, Papeete","79 passengers, crew",Crashed into the sea shortly after takeoff,N417PA,"Auckland to San Francisco via Tahiti, Los Angeles",,,,,,,,,,,,,,,,,,,,,Pan Am Flight 816
Lockheed L-049 Constellation,Paradise Airlines Flight 901A,"March 1, 1964","Near Genoa Peak, Nevada",85 fatalities,"Pilot error, attempted visual landing in adverse weather, loss of situational awareness, crash in mountainous terrain",Unknown,"San Jose, California to South Lake Tahoe, California",,,,,,,,,,,,,,,,,,,,,Paradise Airlines Flight 901A
Convair CV-580,Partnair Flight 394,"September 8, 1989","18 km north of Hirtshals, Denmark","50 passengers, 5 crew","Improper maintenance, counterfeit aircraft parts",LN-PAA,,,,,,,,,,,,,,,,,,,,,,Partnair Flight 394
Douglas DC-4,Pennsylvania Central Airlines Flight 410,"June 13, 1947","Blue Ridge Mountains, West Virginia, USA",50 fatalities,Crashed into Lookout Rock during thunderstorm,Unknown,"Chicago to Norfolk with stops in Cleveland, Pittsburgh, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,Pennsylvania Central Airlines Flight 410
Hawker Siddeley HS 748,Philippine Airlines Flight 206,"June 26, 1987","Mount Ugu, between Itogon and Kayapa","46 passengers, 4 crew","Poor visibility, monsoon conditions, crash into mountain",Unknown,Manila to Baguio City,,,,,,,,,,,,,,,,,,,,,Philippine Airlines Flight 206
Tupolev Tu-154M,Pulkovo Aviation Enterprise Flight 612,"August 22, 2006","Donetsk Oblast, Ukraine",170 fatalities,"Crashed near Russian border, deadliest aviation accident in 2006",Unknown,Anapa to Pulkovo Airport,,,,,,,,,,,,,,,,,,,,,Pulkovo Flight 612
Aermacchi MB-339 PAN jets,Ramstein Air Show Disaster,"August 28, 1988","Ramstein Air Base, West Germany","70 fatalities, 346 serious injuries, hundreds minor injuries",Mid-air collision during formation display,Unknown,,,,,,,,,,,,,,,,,,,,,,Ramstein air show disaster
Sud Aviation Caravelle SE-210,1973 Royal Air Maroc Caravelle Crash,"December 22, 1973","Near Tangier, Morocco",106 fatalities,Controlled flight into terrain due to delayed turn during approach,OO-SRD,Paris to Casablanca via Tangier,,,,,,,,,,,,,,,,,,,,,Royal Air Maroc Caravelle (OO-SRD)
Various,Lockheed C-130 Hercules production hulls,Various,Various,Various,Various,Various,Various,,,,,,,,,,,,,,,,,,,,,Royal Saudi Air Force (453)
N/A,Establishment of Russian Air Force,7 May 1992,N/A,N/A,Formation of Ministry of Defence under Boris Yeltsin,N/A,N/A,,,,,,,,,,,,,,,,,,,,,Russian Air Force
Boeing 707-329,Sabena Flight 548,"February 15, 1961","Zaventem Airport, Brussels","72 passengers, 11 crew, 1 ground fatality",Tail stabilizer failure,Unknown,New York City to Brussels,,,,,,,,,,,,,,,,,,,,,Sabena Flight 548
Vickers Viscount 785D,SAETA Flight 232,"August 15, 1976","Chimborazo, Ecuador","55 passengers, 4 crew",Mid-route crash on Chimborazo volcano,Unknown,Quito to Cuenca,,,,,,,,,,,,,,,,,,,,,SAETA Flight 232
Boeing 727-46,SAM Colombia Flight 501,"May 19, 1993","Medellín, Colombia",132 fatalities,Collided with mountain during approach,HK-2422X,Panama City to Bogotá via Medellín,,,,,,,,,,,,,,,,,,,,,SAM Colombia Flight 501
Curtiss Hawk II,Santa Ana air show disaster,"July 24, 1938","Campo de Marte, Bogota, Colombia","Over 50 killed, over 100 injured","Pilot error, attempted stunt resulted in crash into crowd",,,,,,,,,,,,,,,,,,,,,,,Santa Ana air show disaster
Antonov An-148-100B,Saratov Airlines Flight 703,"February 11, 2018","Near Argunovo and Stepanovskoye, Russia","71 fatalities (65 passengers, 6 crew)",Malfunction leading to emergency landing attempt,RA-61704,Moscow to Orsk,,,,,,,,,,,,,,,,,,,,,Saratov Airlines Flight 703
Lockheed L-1011-200 TriStar,Saudia Flight 163,"August 19, 1980","Riyadh, Saudi Arabia","287 passengers, 14 crew",Smoke inhalation after emergency landing,Unknown,Riyadh to Jeddah,,,,,,,,,,,,,,,,,,,,,Saudia Flight 163
Tupolev Tu-154,Siberia Airlines Flight 1812,"October 4, 2001","Black Sea, near Sochi, Russia","66 passengers, 12 crew",Shot down by Ukrainian Air Force during military exercises,Unknown,"Tel Aviv, Israel to Novosibirsk, Russia",,,,,,,,,,,,,,,,,,,,,Siberia Airlines Flight 1812
